año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_que_sufrieron_violencia,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_que_sufrieron_violencia
2021,estratificado,mujer,-,-,-,superior,-,-,,,,
2021,estratificado,hombre,-,-,-,-,bajo,-,3.4,2.3,4.8,413000
2021,estratificado,hombre,-,-,-,-,medio,-,4.1,2.8,5.7,508000
2021,estratificado,hombre,-,-,-,-,alto,-,3.1,2.2,4.3,480000
2021,estratificado,mujer,-,-,-,-,bajo,-,3.1,2.3,4.1,398000
2021,estratificado,mujer,-,-,-,-,medio,-,2.0,1.4,2.9,288000
2021,estratificado,mujer,-,-,-,-,alto,-,2.1,1.4,3.1,359000
2021,estratificado,hombre,-,-,-,-,-,no,3.4,2.7,4.3,1288000
2021,estratificado,hombre,-,-,-,-,-,si,4.2,2.6,6.7,113000
2021,estratificado,mujer,-,-,-,-,-,no,2.4,1.9,2.9,952000
2021,estratificado,mujer,-,-,-,-,-,si,2.3,1.4,3.6,93000
2022,nacional,-,-,-,-,-,-,-,2.6,2.2,3.1,2249000
2022,estratificado,hombre,-,-,-,-,-,-,2.5,1.9,3.3,1027000
2022,estratificado,mujer,-,-,-,-,-,-,2.7,2.2,3.4,1221000
2022,estratificado,-,20-39,-,-,-,-,-,3.1,2.5,3.9,1208000
2022,estratificado,-,40-59,-,-,-,-,-,2.5,1.9,3.3,747000
2022,estratificado,-,60+,-,-,-,-,-,1.7,1.2,2.6,293000
2022,estratificado,-,-,rural,-,-,-,-,1.8,1.2,2.6,308000
2022,estratificado,-,-,urbano,-,-,-,-,2.8,2.4,3.4,1941000
2022,estratificado,-,-,-,norte ,-,-,-,2.3,1.8,3.0,412000
2022,estratificado,-,-,-,centro,-,-,-,2.6,1.9,3.5,846000
2022,estratificado,-,-,-,cdmx,-,-,-,4.7,3.2,6.8,444000
2022,estratificado,-,-,-,sur,-,-,-,2.1,1.6,2.8,547000
2022,estratificado,-,-,-,-,primaria o menos ,-,-,1.9,1.4,2.5,440000
2022,estratificado,-,-,-,-,secundaria,-,-,2.8,2.2,3.6,644000
2022,estratificado,-,-,-,-,media,-,-,3.3,2.4,4.6,680000
2022,estratificado,-,-,-,-,superior,-,-,2.6,1.8,3.7,484000
2022,estratificado,-,-,-,-,-,bajo,-,2.7,2.1,3.4,688000
2022,estratificado,-,-,-,-,-,medio,-,2.8,2.1,3.6,772000
2022,estratificado,-,-,-,-,-,alto,-,2.5,1.8,3.4,789000
2022,estratificado,-,-,-,-,-,-,no,2.5,2.1,3.0,1941000
2022,estratificado,-,-,-,-,-,-,si,3.7,2.5,5.3,307000
2022,estratificado,hombre,20-39,-,-,-,-,-,3.0,2.2,4.2,563000
2022,estratificado,hombre,40-59,-,-,-,-,-,2.6,1.6,4.2,382000
2022,estratificado,hombre,60+,-,-,-,-,-,,,,
2022,estratificado,mujer,20-39,-,-,-,-,-,3.3,2.4,4.4,645000
2022,estratificado,mujer,40-59,-,-,-,-,-,2.4,1.7,3.4,366000
2022,estratificado,mujer,60+,-,-,-,-,-,,,,
2022,estratificado,hombre,-,rural,-,-,-,-,,,,
2022,estratificado,hombre,-,urbano,-,-,-,-,,,,
2022,estratificado,mujer,-,rural,-,-,-,-,,,,
2022,estratificado,mujer,-,urbano,-,-,-,-,,,,
2022,estratificado,hombre,-,-,norte ,-,-,-,,,,
2022,estratificado,hombre,-,-,centro,-,-,-,,,,
2022,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2022,estratificado,hombre,-,-,sur,-,-,-,,,,
2022,estratificado,mujer,-,-,norte ,-,-,-,,,,
2022,estratificado,mujer,-,-,centro,-,-,-,,,,
2022,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2022,estratificado,mujer,-,-,sur,-,-,-,,,,
2022,estratificado,hombre,-,-,-,primaria o menos ,-,-,,,,
2022,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2022,estratificado,hombre,-,-,-,media,-,-,,,,
2022,estratificado,hombre,-,-,-,superior,-,-,,,,
2022,estratificado,mujer,-,-,-,primaria o menos ,-,-,,,,
2022,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2022,estratificado,mujer,-,-,-,media,-,-,,,,
2022,estratificado,mujer,-,-,-,superior,-,-,,,,
2022,estratificado,hombre,-,-,-,-,bajo,-,,,,
2022,estratificado,hombre,-,-,-,-,medio,-,,,,
2022,estratificado,hombre,-,-,-,-,alto,-,,,,
2022,estratificado,mujer,-,-,-,-,bajo,-,,,,
2022,estratificado,mujer,-,-,-,-,medio,-,,,,
2022,estratificado,mujer,-,-,-,-,alto,-,,,,
2022,estratificado,hombre,-,-,-,-,-,no,,,,
2022,estratificado,hombre,-,-,-,-,-,si,,,,
2022,estratificado,mujer,-,-,-,-,-,no,,,,
2022,estratificado,mujer,-,-,-,-,-,si,,,,
2023,nacional,-,-,-,-,-,-,-,2.5,2.0,3.2,2164000
2023,estratificado,hombre,-,-,-,-,-,-,2.2,1.5,3.3,912000
2023,estratificado,mujer,-,-,-,-,-,-,2.8,2.0,3.9,1252000
2023,estratificado,-,20-39,-,-,-,-,-,2.9,1.9,4.4,1131000
2023,estratificado,-,40-59,-,-,-,-,-,2.4,1.6,3.5,693000
2023,estratificado,-,60+,-,-,-,-,-,,,,
2023,estratificado,-,-,rural,-,-,-,-,1.8,1.1,3.0,304000
2023,estratificado,-,-,urbano,-,-,-,-,2.7,2.0,3.6,1860000
2023,estratificado,-,-,-,norte ,-,-,-,,,,
2023,estratificado,-,-,-,centro,-,-,-,,,,
2023,estratificado,-,-,-,cdmx,-,-,-,,,,
2023,estratificado,-,-,-,sur,-,-,-,,,,
2023,estratificado,-,-,-,-,primaria o menos ,-,-,,,,
2023,estratificado,-,-,-,-,secundaria,-,-,,,,
2023,estratificado,-,-,-,-,media,-,-,,,,
2023,estratificado,-,-,-,-,superior,-,-,,,,
2023,estratificado,-,-,-,-,-,bajo,-,,,,
2023,estratificado,-,-,-,-,-,medio,-,,,,
2023,estratificado,-,-,-,-,-,alto,-,,,,
2023,estratificado,-,-,-,-,-,-,no,,,,
2023,estratificado,-,-,-,-,-,-,si,,,,
2023,estratificado,hombre,20-39,-,-,-,-,-,,,,
2023,estratificado,hombre,40-59,-,-,-,-,-,,,,
2023,estratificado,hombre,60+,-,-,-,-,-,,,,
2023,estratificado,mujer,20-39,-,-,-,-,-,,,,
2023,estratificado,mujer,40-59,-,-,-,-,-,,,,
2023,estratificado,mujer,60+,-,-,-,-,-,,,,
2023,estratificado,hombre,-,rural,-,-,-,-,,,,
2023,estratificado,hombre,-,urbano,-,-,-,-,,,,
2023,estratificado,mujer,-,rural,-,-,-,-,,,,
2023,estratificado,mujer,-,urbano,-,-,-,-,,,,
2023,estratificado,hombre,-,-,norte ,-,-,-,,,,
2023,estratificado,hombre,-,-,centro,-,-,-,,,,
2023,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2023,estratificado,hombre,-,-,sur,-,-,-,,,,
2023,estratificado,mujer,-,-,norte ,-,-,-,,,,
2023,estratificado,mujer,-,-,centro,-,-,-,,,,
2023,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2023,estratificado,mujer,-,-,sur,-,-,-,,,,
2023,estratificado,hombre,-,-,-,primaria o menos ,-,-,,,,
2023,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2023,estratificado,hombre,-,-,-,media,-,-,,,,
2023,estratificado,hombre,-,-,-,superior,-,-,,,,
2023,estratificado,mujer,-,-,-,primaria o menos ,-,-,,,,
2023,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2023,estratificado,mujer,-,-,-,media,-,-,,,,
2023,estratificado,mujer,-,-,-,superior,-,-,,,,
2023,estratificado,hombre,-,-,-,-,bajo,-,,,,
2023,estratificado,hombre,-,-,-,-,medio,-,,,,
2023,estratificado,hombre,-,-,-,-,alto,-,,,,
2023,estratificado,mujer,-,-,-,-,bajo,-,,,,
2023,estratificado,mujer,-,-,-,-,medio,-,,,,
2023,estratificado,mujer,-,-,-,-,alto,-,,,,
2023,estratificado,hombre,-,-,-,-,-,no,,,,
2023,estratificado,hombre,-,-,-,-,-,si,,,,
2023,estratificado,mujer,-,-,-,-,-,no,,,,
2023,estratificado,mujer,-,-,-,-,-,si,,,,
