año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_que_sufrieron_violencia,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_que_sufrieron_violencia
2006,estratificado,hombre,-,rural,-,-,-,-,,,,
2006,estratificado,hombre,-,urbano,-,-,-,-,2.5,2.1,3.0,533000
2006,estratificado,mujer,-,rural,-,-,-,-,,,,
2006,estratificado,mujer,-,urbano,-,-,-,-,1.3,1.0,1.6,335000
2006,estratificado,hombre,-,-,norte ,-,-,-,1.7,1.3,2.2,92000
2006,estratificado,hombre,-,-,centro,-,-,-,2.3,1.7,3.0,237000
2006,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2006,estratificado,hombre,-,-,sur,-,-,-,1.9,1.5,2.4,151000
2006,estratificado,mujer,-,-,norte ,-,-,-,1.0,0.7,1.4,65000
2006,estratificado,mujer,-,-,centro,-,-,-,1.2,0.8,1.8,155000
2006,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2006,estratificado,mujer,-,-,sur,-,-,-,1.0,0.7,1.4,100000
2006,estratificado,hombre,-,-,-,primaria o menos ,-,-,1.8,1.4,2.4,194000
2006,estratificado,hombre,-,-,-,secundaria,-,-,2.1,1.4,3.0,110000
2006,estratificado,hombre,-,-,-,media,-,-,2.6,1.6,4.2,85000
2006,estratificado,hombre,-,-,-,superior,-,-,,,,
2006,estratificado,mujer,-,-,-,primaria o menos ,-,-,1.0,0.7,1.3,146000
2006,estratificado,mujer,-,-,-,secundaria,-,-,1.5,0.9,2.4,84000
2006,estratificado,mujer,-,-,-,media,-,-,1.5,0.9,2.6,65000
2006,estratificado,mujer,-,-,-,superior,-,-,,,,
2006,estratificado,hombre,-,-,-,-,bajo,-,1.5,1.1,2.0,90000
2006,estratificado,hombre,-,-,-,-,medio,-,2.2,1.6,2.9,145000
2006,estratificado,hombre,-,-,-,-,alto,-,2.5,1.9,3.4,235000
2006,estratificado,mujer,-,-,-,-,bajo,-,0.9,0.6,1.2,65000
2006,estratificado,mujer,-,-,-,-,medio,-,1.3,0.9,1.8,113000
2006,estratificado,mujer,-,-,-,-,alto,-,1.2,0.8,1.7,135000
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional,-,-,-,-,-,-,-,3.0,2.7,3.3,2068000
2012,estratificado,hombre,-,-,-,-,-,-,3.5,3.0,4.0,1142000
2012,estratificado,mujer,-,-,-,-,-,-,2.5,2.2,2.9,927000
2012,estratificado,-,20-39,-,-,-,-,-,3.6,3.1,4.2,1277000
2012,estratificado,-,40-59,-,-,-,-,-,2.6,2.2,3.0,606000
2012,estratificado,-,60+,-,-,-,-,-,1.7,1.3,2.3,185000
2012,estratificado,-,-,rural,-,-,-,-,1.3,1.1,1.6,189000
2012,estratificado,-,-,urbano,-,-,-,-,3.4,3.0,3.8,1879000
2012,estratificado,-,-,-,norte ,-,-,-,2.3,1.9,2.8,326000
2012,estratificado,-,-,-,centro,-,-,-,3.4,2.9,4.1,906000
2012,estratificado,-,-,-,cdmx,-,-,-,4.9,3.5,6.7,394000
2012,estratificado,-,-,-,sur,-,-,-,2.1,1.8,2.4,443000
2012,estratificado,-,-,-,-,primaria o menos ,-,-,1.9,1.6,2.3,527000
2012,estratificado,-,-,-,-,secundaria,-,-,3.5,2.9,4.2,653000
2012,estratificado,-,-,-,-,media,-,-,4.2,3.4,5.2,566000
2012,estratificado,-,-,-,-,superior,-,-,3.2,2.5,4.1,322000
2012,estratificado,-,-,-,-,-,bajo,-,2.1,1.8,2.5,462000
2012,estratificado,-,-,-,-,-,medio,-,3.2,2.7,3.9,761000
2012,estratificado,-,-,-,-,-,alto,-,3.5,2.9,4.3,845000
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-39,-,-,-,-,-,4.4,3.6,5.3,733000
2012,estratificado,hombre,40-59,-,-,-,-,-,2.9,2.3,3.6,323000
2012,estratificado,hombre,60+,-,-,-,-,-,,,,
2012,estratificado,mujer,20-39,-,-,-,-,-,2.9,2.4,3.5,544000
2012,estratificado,mujer,40-59,-,-,-,-,-,2.3,1.8,3.0,283000
2012,estratificado,mujer,60+,-,-,-,-,-,,,,
2012,estratificado,hombre,-,rural,-,-,-,-,1.6,1.2,2.0,112000
2012,estratificado,hombre,-,urbano,-,-,-,-,4.0,3.4,4.7,1029000
2012,estratificado,mujer,-,rural,-,-,-,-,1.0,.8,1.3,77000
2012,estratificado,mujer,-,urbano,-,-,-,-,2.9,2.5,3.4,850000
2012,estratificado,hombre,-,-,norte ,-,-,-,3.0,2.4,3.8,205000
2012,estratificado,hombre,-,-,centro,-,-,-,3.9,3.0,4.9,485000
2012,estratificado,hombre,-,-,cdmx,-,-,-,6.1,3.8,9.6,225000
2012,estratificado,hombre,-,-,sur,-,-,-,2.3,1.8,2.9,227000
2012,estratificado,mujer,-,-,norte ,-,-,-,1.7,1.3,2.3,121000
2012,estratificado,mujer,-,-,centro,-,-,-,3.0,2.4,3.9,421000
2012,estratificado,mujer,-,-,cdmx,-,-,-,3.9,2.6,5.7,170000
2012,estratificado,mujer,-,-,sur,-,-,-,1.9,1.5,2.4,216000
2012,estratificado,hombre,-,-,-,primaria o menos ,-,-,2.2,1.8,2.8,272000
2012,estratificado,hombre,-,-,-,secundaria,-,-,4.4,3.5,5.6,406000
2012,estratificado,hombre,-,-,-,media,-,-,4.7,3.5,6.4,292000
2012,estratificado,hombre,-,-,-,superior,-,-,3.2,2.2,4.6,171000
2012,estratificado,mujer,-,-,-,primaria o menos ,-,-,1.7,1.3,2.2,255000
2012,estratificado,mujer,-,-,-,secundaria,-,-,2.6,2.0,3.3,247000
2012,estratificado,mujer,-,-,-,media,-,-,3.8,2.8,5.0,273000
2012,estratificado,mujer,-,-,-,superior,-,-,3.2,2.3,4.5,151000
2012,estratificado,hombre,-,-,-,-,bajo,-,2.4,1.8,3.1,252000
2012,estratificado,hombre,-,-,-,-,medio,-,3.8,3.0,4.9,428000
2012,estratificado,hombre,-,-,-,-,alto,-,4.1,3.1,5.3,461000
2012,estratificado,mujer,-,-,-,-,bajo,-,1.8,1.4,2.3,210000
2012,estratificado,mujer,-,-,-,-,medio,-,2.7,2.1,3.4,333000
2012,estratificado,mujer,-,-,-,-,alto,-,3.0,2.4,3.8,384000
2012,estratificado,hombre,-,-,-,-,-,no,,,,
2012,estratificado,hombre,-,-,-,-,-,si,,,,
2012,estratificado,mujer,-,-,-,-,-,no,,,,
2012,estratificado,mujer,-,-,-,-,-,si,,,,
2016,nacional,-,-,-,-,-,-,-,,,,
2016,estratificado,hombre,-,-,-,-,-,-,,,,
2016,estratificado,mujer,-,-,-,-,-,-,,,,
2016,estratificado,-,20-39,-,-,-,-,-,,,,
2016,estratificado,-,40-59,-,-,-,-,-,,,,
2016,estratificado,-,60+,-,-,-,-,-,,,,
2016,estratificado,-,-,rural,-,-,-,-,,,,
2016,estratificado,-,-,urbano,-,-,-,-,,,,
2016,estratificado,-,-,-,norte ,-,-,-,,,,
2016,estratificado,-,-,-,centro,-,-,-,,,,
2016,estratificado,-,-,-,cdmx,-,-,-,,,,
2016,estratificado,-,-,-,sur,-,-,-,,,,
2016,estratificado,-,-,-,-,primaria o menos ,-,-,,,,
2016,estratificado,-,-,-,-,secundaria,-,-,,,,
2016,estratificado,-,-,-,-,media,-,-,,,,
2016,estratificado,-,-,-,-,superior,-,-,,,,
2016,estratificado,-,-,-,-,-,bajo,-,,,,
2016,estratificado,-,-,-,-,-,medio,-,,,,
2016,estratificado,-,-,-,-,-,alto,-,,,,
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,,,,
2016,estratificado,hombre,40-59,-,-,-,-,-,,,,
2016,estratificado,hombre,60+,-,-,-,-,-,,,,
2016,estratificado,mujer,20-39,-,-,-,-,-,,,,
2016,estratificado,mujer,40-59,-,-,-,-,-,,,,
2016,estratificado,mujer,60+,-,-,-,-,-,,,,
2016,estratificado,hombre,-,rural,-,-,-,-,,,,
2016,estratificado,hombre,-,urbano,-,-,-,-,,,,
2016,estratificado,mujer,-,rural,-,-,-,-,,,,
2016,estratificado,mujer,-,urbano,-,-,-,-,,,,
2016,estratificado,hombre,-,-,norte ,-,-,-,,,,
2016,estratificado,hombre,-,-,centro,-,-,-,,,,
2016,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2016,estratificado,hombre,-,-,sur,-,-,-,,,,
