año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_hipercolesterolemia,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipercolesterolemia
2006,estratificado,hombre,40-59,-,-,-,-,-,12.1,10.7,13.6,1094000
2006,estratificado,hombre,60+,-,-,-,-,-,10.5,9.1,12,469000
2006,estratificado,mujer,20-39,-,-,-,-,-,4.2,3.6,4.8,690000
2006,estratificado,mujer,40-59,-,-,-,-,-,13.3,12.2,14.5,1408000
2006,estratificado,mujer,60+,-,-,-,-,-,17.5,15.7,19.3,959000
2006,estratificado,hombre,-,rural,-,-,-,-,4.7,3.9,5.7,263000
2006,estratificado,hombre,-,urbano,-,-,-,-,8.5,7.8,9.3,1812000
2006,estratificado,mujer,-,rural,-,-,-,-,5.5,4.7,6.4,362000
2006,estratificado,mujer,-,urbano,-,-,-,-,10.4,9.7,11.2,2695000
2006,estratificado,hombre,-,-,norte ,-,-,-,8.2,7.2,9.2,454000
2006,estratificado,hombre,-,-,centro,-,-,-,6.6,5.6,7.7,680000
2006,estratificado,hombre,-,-,cdmx,-,-,-,11.2,8.7,14.3,357000
2006,estratificado,hombre,-,-,sur,-,-,-,7.5,6.5,8.5,585000
2006,estratificado,mujer,-,-,norte ,-,-,-,10.8,9.9,11.8,684000
2006,estratificado,mujer,-,-,centro,-,-,-,8.2,7.2,9.2,1041000
2006,estratificado,mujer,-,-,cdmx,-,-,-,13.2,10.5,16.5,484000
2006,estratificado,mujer,-,-,sur,-,-,-,8.7,7.9,9.6,847000
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,7.1,6.3,8,762000
2006,estratificado,hombre,-,-,-,secundaria,-,-,6.5,5.4,7.8,339000
2006,estratificado,hombre,-,-,-,media,-,-,8.7,7,10.8,286000
2006,estratificado,hombre,-,-,-,superior,-,-,12.3,10,15,322000
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,11.2,10.3,12.1,1689000
2006,estratificado,mujer,-,-,-,secundaria,-,-,7,5.9,8.3,392000
2006,estratificado,mujer,-,-,-,media,-,-,8.3,6.5,10.6,355000
2006,estratificado,mujer,-,-,-,superior,-,-,7.9,6.1,10.1,170000
2006,estratificado,hombre,-,-,-,-,bajo,-,3.8,3.2,4.6,231000
2006,estratificado,hombre,-,-,-,-,medio,-,7.5,6.4,8.8,499000
2006,estratificado,hombre,-,-,-,-,alto,-,10.7,9.5,11.9,978000
2006,estratificado,mujer,-,-,-,-,bajo,-,6,5.2,6.9,444000
2006,estratificado,mujer,-,-,-,-,medio,-,9.4,8.4,10.4,810000
2006,estratificado,mujer,-,-,-,-,alto,-,12.2,11.1,13.5,1353000
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional,-,-,-,-,-,-,-,13.1,12.5,13.7,9058000
2012,estratificado,hombre,-,-,-,-,-,-,11.9,11.1,12.7,3880000
2012,estratificado,mujer,-,-,-,-,-,-,14.2,13.5,14.9,5178000
2012,estratificado,-,20-39,-,-,-,-,-,6.1,5.6,6.6,2142000
2012,estratificado,-,40-59,-,-,-,-,-,20.2,19,21.4,4740000
2012,estratificado,-,60+,-,-,-,-,-,20.6,19.2,22.1,2176000
2012,estratificado,-,-,rural,-,-,-,-,9.2,8.5,9.8,1334000
2012,estratificado,-,-,urbano,-,-,-,-,14.1,13.4,14.9,7724000
2012,estratificado,-,-,-,norte ,-,-,-,13.1,12.2,14,1811000
2012,estratificado,-,-,-,centro,-,-,-,11.4,10.5,12.4,2970000
2012,estratificado,-,-,-,cdmx,-,-,-,20.3,17.6,23.3,1625000
2012,estratificado,-,-,-,sur,-,-,-,12.5,11.7,13.3,2652000
2012,estratificado,-,-,-,-,primaria o menos,-,-,14.3,13.5,15.1,3881000
2012,estratificado,-,-,-,-,secundaria,-,-,11.6,10.6,12.8,2164000
2012,estratificado,-,-,-,-,media,-,-,12.1,10.8,13.5,1629000
2012,estratificado,-,-,-,-,superior,-,-,13.8,12.4,15.5,1384000
2012,estratificado,-,-,-,-,-,bajo,-,8.7,8.1,9.4,1908000
2012,estratificado,-,-,-,-,-,medio,-,12.9,12,13.7,3015000
2012,estratificado,-,-,-,-,-,alto,-,17.3,16.1,18.7,4135000
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-39,-,-,-,-,-,6.1,5.4,7,1012000
2012,estratificado,hombre,40-59,-,-,-,-,-,18.1,16.6,19.8,2040000
2012,estratificado,hombre,60+,-,-,-,-,-,16.8,14.8,19,828000
2012,estratificado,mujer,20-39,-,-,-,-,-,6.1,5.5,6.7,1130000
2012,estratificado,mujer,40-59,-,-,-,-,-,22,20.5,23.7,2700000
2012,estratificado,mujer,60+,-,-,-,-,-,23.9,22,26,1349000
2012,estratificado,hombre,-,rural,-,-,-,-,7.5,6.6,8.4,532000
2012,estratificado,hombre,-,urbano,-,-,-,-,13.1,12.1,14.1,3347000
2012,estratificado,mujer,-,rural,-,-,-,-,10.8,9.8,11.7,802000
2012,estratificado,mujer,-,urbano,-,-,-,-,15.1,14.2,16,4377000
2012,estratificado,hombre,-,-,norte ,-,-,-,11.7,10.5,13,795000
2012,estratificado,hombre,-,-,centro,-,-,-,10.5,9.2,11.9,1289000
2012,estratificado,hombre,-,-,cdmx,-,-,-,19.2,15.4,23.7,705000
2012,estratificado,hombre,-,-,sur,-,-,-,11,9.9,12.3,1090000
2012,estratificado,mujer,-,-,norte ,-,-,-,14.4,13.2,15.7,1016000
2012,estratificado,mujer,-,-,centro,-,-,-,12.2,11.1,13.4,1681000
2012,estratificado,mujer,-,-,cdmx,-,-,-,21.1,17.6,25.2,920000
2012,estratificado,mujer,-,-,sur,-,-,-,13.8,12.8,14.9,1562000
2012,estratificado,hombre,-,-,-,primaria o menos,-,-,10.4,9.4,11.6,1265000
2012,estratificado,hombre,-,-,-,secundaria,-,-,11.7,10.1,13.6,1065000
2012,estratificado,hombre,-,-,-,media,-,-,11.8,10,13.9,730000
2012,estratificado,hombre,-,-,-,superior,-,-,15.4,13.3,17.8,820000
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,17.4,16.3,18.6,2616000
2012,estratificado,mujer,-,-,-,secundaria,-,-,11.5,10.2,13,1099000
2012,estratificado,mujer,-,-,-,media,-,-,12.4,10.8,14.2,899000
2012,estratificado,mujer,-,-,-,superior,-,-,12,10,14.3,564000
2012,estratificado,hombre,-,-,-,-,bajo,-,6.8,6.1,7.7,708000
2012,estratificado,hombre,-,-,-,-,medio,-,11.5,10.3,12.9,1283000
2012,estratificado,hombre,-,-,-,-,alto,-,16.8,15.1,18.7,1888000
2012,estratificado,mujer,-,-,-,-,bajo,-,10.4,9.5,11.4,1200000
2012,estratificado,mujer,-,-,-,-,medio,-,14,12.9,15.2,1732000
2012,estratificado,mujer,-,-,-,-,alto,-,17.8,16.2,19.4,2247000
2012,estratificado,hombre,-,-,-,-,-,no,,,,
2012,estratificado,hombre,-,-,-,-,-,si,,,,
2012,estratificado,mujer,-,-,-,-,-,no,,,,
2012,estratificado,mujer,-,-,-,-,-,si,,,,
2016,nacional,-,-,-,-,-,-,-,28,24.8,31.4,8424000
2016,estratificado,hombre,-,-,-,-,-,-,27.4,22,33.5,3651000
2016,estratificado,mujer,-,-,-,-,-,-,28.4,25,32.1,4773000
2016,estratificado,-,20-39,-,-,-,-,-,20.4,15,27,2530000
2016,estratificado,-,40-59,-,-,-,-,-,33,28.5,37.8,3743000
2016,estratificado,-,60+,-,-,-,-,-,33.8,28.9,39,2151000
2016,estratificado,-,-,rural,-,-,-,-,31.5,26.6,36.9,1642000
2016,estratificado,-,-,urbano,-,-,-,-,27.2,23.5,31.2,6782000
2016,estratificado,-,-,-,norte ,-,-,-,21.1,15.1,28.8,1501000
2016,estratificado,-,-,-,centro,-,-,-,28.4,21.4,36.7,2596000
2016,estratificado,-,-,-,cdmx,-,-,-,30.9,26.3,35.9,1762000
2016,estratificado,-,-,-,sur,-,-,-,31.3,27.1,35.8,2566000
2016,estratificado,-,-,-,-,primaria o menos,-,-,31.6,27.9,35.5,3003000
2016,estratificado,-,-,-,-,secundaria,-,-,27.2,22.6,32.4,2111000
2016,estratificado,-,-,-,-,media,-,-,30.2,22,40,1886000
2016,estratificado,-,-,-,-,superior,-,-,21.5,14.6,30.5,1424000
2016,estratificado,-,-,-,-,-,bajo,-,34.1,28.9,39.8,1527000
2016,estratificado,-,-,-,-,-,medio,-,24.3,20.7,28.3,1994000
2016,estratificado,-,-,-,-,-,alto,-,28.1,23.1,33.7,4903000
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,19.6,10.8,33.1,1187000
2016,estratificado,hombre,40-59,-,-,-,-,-,35.8,28.7,43.5,1614000
2016,estratificado,hombre,60+,-,-,-,-,-,30.6,22.7,39.8,851000
2016,estratificado,mujer,20-39,-,-,-,-,-,21,16.7,26.1,1343000
2016,estratificado,mujer,40-59,-,-,-,-,-,31.2,26.2,36.7,2129000
2016,estratificado,mujer,60+,-,-,-,-,-,36.2,29.8,43.2,1300000
2016,estratificado,hombre,-,rural,-,-,-,-,31.1,23.6,39.9,668000
2016,estratificado,hombre,-,urbano,-,-,-,-,26.7,20.5,33.9,2984000
2016,estratificado,mujer,-,rural,-,-,-,-,31.8,27.1,36.8,974000
2016,estratificado,mujer,-,urbano,-,-,-,-,27.7,23.6,32.1,3798000
2016,estratificado,hombre,-,-,norte ,-,-,-,21.8,14.8,30.7,736000
2016,estratificado,hombre,-,-,centro,-,-,-,25.9,14.3,42.4,1076000
2016,estratificado,hombre,-,-,cdmx,-,-,-,28.2,19,39.7,676000
2016,estratificado,hombre,-,-,sur,-,-,-,34.2,26.4,42.9,1164000
2016,estratificado,mujer,-,-,norte ,-,-,-,20.6,13.8,29.6,765000
2016,estratificado,mujer,-,-,centro,-,-,-,30.5,24.1,37.8,1519000
2016,estratificado,mujer,-,-,cdmx,-,-,-,32.8,25.6,41,1086000
2016,estratificado,mujer,-,-,sur,-,-,-,29.2,23.9,35.2,1402000
2016,estratificado,hombre,-,-,-,primaria o menos,-,-,25.9,20.7,31.8,938000
2016,estratificado,hombre,-,-,-,secundaria,-,-,30.9,22.7,40.6,940000
2016,estratificado,hombre,-,-,-,media,-,-,33.3,19,51.4,1075000
2016,estratificado,hombre,-,-,-,superior,-,-,,,,
2016,estratificado,mujer,-,-,-,primaria o menos,-,-,35.1,30.1,40.5,2064000
2016,estratificado,mujer,-,-,-,secundaria,-,-,24.8,19.8,30.6,1172000
2016,estratificado,mujer,-,-,-,media,-,-,27,20.8,34.3,810000
2016,estratificado,mujer,-,-,-,superior,-,-,,,,
2016,estratificado,hombre,-,-,-,-,bajo,-,30.1,21.9,39.8,537000
2016,estratificado,hombre,-,-,-,-,medio,-,22.9,17.5,29.3,796000
2016,estratificado,hombre,-,-,-,-,alto,-,28.7,20.4,38.8,2318000
2016,estratificado,mujer,-,-,-,-,bajo,-,36.8,31.1,42.9,990000
2016,estratificado,mujer,-,-,-,-,medio,-,25.4,20.9,30.5,1199000
2016,estratificado,mujer,-,-,-,-,alto,-,27.5,22.4,33.3,2584000
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional,-,-,-,-,-,-,-,16.5,16,17.1,13697000
2018,estratificado,hombre,-,-,-,-,-,-,14.6,13.9,15.4,5498000
2018,estratificado,mujer,-,-,-,-,-,-,18.1,17.3,19,8199000
2018,estratificado,-,20-39,-,-,-,-,-,8.4,7.8,9.1,3111000
2018,estratificado,-,40-59,-,-,-,-,-,21.7,20.7,22.8,6436000
2018,estratificado,-,60+,-,-,-,-,-,25.5,24.2,27,4150000
2018,estratificado,-,-,rural,-,-,-,-,13.4,12.5,14.4,2355000
2018,estratificado,-,-,urbano,-,-,-,-,17.4,16.7,18.1,11342000
2018,estratificado,-,-,-,norte ,-,-,-,16.5,15.6,17.4,2815000
2018,estratificado,-,-,-,centro,-,-,-,13.6,12.6,14.6,3933000
2018,estratificado,-,-,-,cdmx,-,-,-,21.2,19,23.7,2424000
2018,estratificado,-,-,-,sur,-,-,-,17.9,17,18.9,4525000
2018,estratificado,-,-,-,-,primaria o menos,-,-,19.3,18.3,20.4,5018000
2018,estratificado,-,-,-,-,secundaria,-,-,16.2,15.2,17.3,3669000
2018,estratificado,-,-,-,-,media,-,-,14.2,13.1,15.2,2546000
2018,estratificado,-,-,-,-,superior,-,-,15.2,14,16.5,2464000
2018,estratificado,-,-,-,-,-,bajo,-,14,13.1,14.8,3357000
2018,estratificado,-,-,-,-,-,medio,-,16.4,15.6,17.3,4365000
2018,estratificado,-,-,-,-,-,alto,-,18.6,17.6,19.6,5975000
2018,estratificado,-,-,-,-,-,-,no,15.6,15,16.2,11852000
2018,estratificado,-,-,-,-,-,-,si,27.5,25.3,29.7,1845000
2018,estratificado,hombre,20-39,-,-,-,-,-,8.2,7.4,9,1397000
2018,estratificado,hombre,40-59,-,-,-,-,-,19.8,18.4,21.2,2650000
2018,estratificado,hombre,60+,-,-,-,-,-,20.6,18.8,22.7,1451000
2018,estratificado,mujer,20-39,-,-,-,-,-,8.7,7.9,9.6,1714000
2018,estratificado,mujer,40-59,-,-,-,-,-,23.3,21.9,24.8,3787000
2018,estratificado,mujer,60+,-,-,-,-,-,29.3,27.4,31.3,2699000
2018,estratificado,hombre,-,rural,-,-,-,-,10.5,9.5,11.7,859000
2018,estratificado,hombre,-,urbano,-,-,-,-,15.8,14.9,16.7,4639000
2018,estratificado,mujer,-,rural,-,-,-,-,15.9,14.7,17.2,1496000
2018,estratificado,mujer,-,urbano,-,-,-,-,18.7,17.8,19.7,6703000
2018,estratificado,hombre,-,-,norte ,-,-,-,14.2,13,15.5,1118000
2018,estratificado,hombre,-,-,centro,-,-,-,12.8,11.6,14.1,1709000
2018,estratificado,hombre,-,-,cdmx,-,-,-,19,16.2,22.3,963000
2018,estratificado,hombre,-,-,sur,-,-,-,15.2,14,16.4,1709000
2018,estratificado,mujer,-,-,norte ,-,-,-,18.5,17.2,19.8,1697000
2018,estratificado,mujer,-,-,centro,-,-,-,14.2,12.9,15.5,2224000
2018,estratificado,mujer,-,-,cdmx,-,-,-,23,19.8,26.5,1461000
2018,estratificado,mujer,-,-,sur,-,-,-,20.1,18.9,21.4,2817000
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,14.2,13,15.6,1594000
2018,estratificado,hombre,-,-,-,secundaria,-,-,14.4,13,15.9,1468000
2018,estratificado,hombre,-,-,-,media,-,-,13.5,12,15.1,1089000
2018,estratificado,hombre,-,-,-,superior,-,-,16.7,15,18.5,1348000
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,23.2,21.8,24.7,3424000
2018,estratificado,mujer,-,-,-,secundaria,-,-,17.8,16.4,19.3,2202000
2018,estratificado,mujer,-,-,-,media,-,-,14.7,13.3,16.2,1456000
2018,estratificado,mujer,-,-,-,superior,-,-,13.7,12.2,15.4,1117000
2018,estratificado,hombre,-,-,-,-,bajo,-,10.6,9.6,11.7,1163000
2018,estratificado,hombre,-,-,-,-,medio,-,13.9,12.8,15.2,1660000
2018,estratificado,hombre,-,-,-,-,alto,-,18.2,16.9,19.7,2675000
2018,estratificado,mujer,-,-,-,-,bajo,-,16.8,15.5,18.1,2194000
2018,estratificado,mujer,-,-,-,-,medio,-,18.5,17.2,19.8,2705000
2018,estratificado,mujer,-,-,-,-,alto,-,18.9,17.5,20.3,3300000
2018,estratificado,hombre,-,-,-,-,-,no,14.3,13.5,15.1,4977000
2018,estratificado,hombre,-,-,-,-,-,si,19.4,16.6,22.6,522000
2018,estratificado,mujer,-,-,-,-,-,no,16.7,15.9,17.5,6876000
2018,estratificado,mujer,-,-,-,-,-,si,32.8,29.9,35.9,1323000
2020,nacional,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-39,-,-,-,-,-,,,,
2020,estratificado,-,40-59,-,-,-,-,-,,,,
2020,estratificado,-,60+,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,-,-,-,-,secundaria,-,-,,,,
2020,estratificado,-,-,-,-,media,-,-,,,,
2020,estratificado,-,-,-,-,superior,-,-,,,,
2020,estratificado,-,-,-,-,-,bajo,-,,,,
2020,estratificado,-,-,-,-,-,medio,-,,,,
2020,estratificado,-,-,-,-,-,alto,-,,,,
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
2020,estratificado,hombre,20-39,-,-,-,-,-,,,,
2020,estratificado,hombre,40-59,-,-,-,-,-,,,,
2020,estratificado,hombre,60+,-,-,-,-,-,,,,
2020,estratificado,mujer,20-39,-,-,-,-,-,,,,
2020,estratificado,mujer,40-59,-,-,-,-,-,,,,
2020,estratificado,mujer,60+,-,-,-,-,-,,,,
2020,estratificado,hombre,-,rural,-,-,-,-,,,,
2020,estratificado,hombre,-,urbano,-,-,-,-,,,,
2020,estratificado,mujer,-,rural,-,-,-,-,,,,
2020,estratificado,mujer,-,urbano,-,-,-,-,,,,
2020,estratificado,hombre,-,-,norte ,-,-,-,,,,
2020,estratificado,hombre,-,-,centro,-,-,-,,,,
2020,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2020,estratificado,hombre,-,-,sur,-,-,-,,,,
2020,estratificado,mujer,-,-,norte ,-,-,-,,,,
2020,estratificado,mujer,-,-,centro,-,-,-,,,,
2020,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2020,estratificado,mujer,-,-,sur,-,-,-,,,,
2020,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2020,estratificado,hombre,-,-,-,media,-,-,,,,
2020,estratificado,hombre,-,-,-,superior,-,-,,,,
2020,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2020,estratificado,mujer,-,-,-,media,-,-,,,,
2020,estratificado,mujer,-,-,-,superior,-,-,,,,
2020,estratificado,hombre,-,-,-,-,bajo,-,,,,
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional,-,-,-,-,-,-,-,14.2,13.3,15.1,12049000
2021,estratificado,hombre,-,-,-,-,-,-,12.3,11.1,13.6,4990000
2021,estratificado,mujer,-,-,-,-,-,-,16,15,17,7058000
2021,estratificado,-,20-39,-,-,-,-,-,7.4,6.4,8.6,2920000
2021,estratificado,-,40-59,-,-,-,-,-,19.8,18.1,21.5,5827000
2021,estratificado,-,60+,-,-,-,-,-,20.6,18.6,22.8,3301000
2021,estratificado,-,-,rural,-,-,-,-,12.9,11.3,14.7,2184000
2021,estratificado,-,-,urbano,-,-,-,-,14.5,13.5,15.6,9865000
2021,estratificado,-,-,-,norte ,-,-,-,11.4,9.6,13.5,1961000
2021,estratificado,-,-,-,centro,-,-,-,11.6,10.6,12.7,3889000
2021,estratificado,-,-,-,cdmx,-,-,-,18.6,16.5,21,1587000
2021,estratificado,-,-,-,sur,-,-,-,18,16,20.1,4612000
2021,estratificado,-,-,-,-,primaria o menos,-,-,16.7,15.2,18.3,3907000
2021,estratificado,-,-,-,-,secundaria,-,-,13.7,12.3,15.3,3225000
2021,estratificado,-,-,-,-,media,-,-,14,12,16.2,2714000
2021,estratificado,-,-,-,-,superior,-,-,11.9,10.3,13.7,2202000
2021,estratificado,-,-,-,-,-,bajo,-,13,11.7,14.5,3304000
2021,estratificado,-,-,-,-,-,medio,-,15.3,13.7,17.1,4100000
2021,estratificado,-,-,-,-,-,alto,-,14.2,13,15.5,4645000
2021,estratificado,-,-,-,-,-,-,no,13.3,12.4,14.2,10361000
2021,estratificado,-,-,-,-,-,-,si,25,21.7,28.7,1688000
2021,estratificado,hombre,20-39,-,-,-,-,-,6.9,5.5,8.8,1316000
2021,estratificado,hombre,40-59,-,-,-,-,-,17.1,14.9,19.6,2324000
2021,estratificado,hombre,60+,-,-,-,-,-,16.7,14.1,19.8,1350000
