año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_hipercolesterolemia,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipercolesterolemia
2021,estratificado,mujer,20-39,-,-,-,-,-,7.9,6.7,9.2,1603000
2021,estratificado,mujer,40-59,-,-,-,-,-,22,19.9,24.3,3503000
2021,estratificado,mujer,60+,-,-,-,-,-,24.5,22,27.3,1952000
2021,estratificado,hombre,-,rural,-,-,-,-,10.5,8.6,12.7,870000
2021,estratificado,hombre,-,urbano,-,-,-,-,12.8,11.3,14.3,4120000
2021,estratificado,mujer,-,rural,-,-,-,-,15.3,13.1,17.9,1313000
2021,estratificado,mujer,-,urbano,-,-,-,-,16.1,15,17.3,5745000
2021,estratificado,hombre,-,-,norte ,-,-,-,10.4,8,13.6,870000
2021,estratificado,hombre,-,-,centro,-,-,-,9.9,8.5,11.6,1619000
2021,estratificado,hombre,-,-,cdmx,-,-,-,15.4,12.5,18.7,589000
2021,estratificado,hombre,-,-,sur,-,-,-,15.8,13,19,1912000
2021,estratificado,mujer,-,-,norte ,-,-,-,12.4,10.3,14.9,1091000
2021,estratificado,mujer,-,-,centro,-,-,-,13.2,11.9,14.6,2270000
2021,estratificado,mujer,-,-,cdmx,-,-,-,21.3,18.8,24.1,998000
2021,estratificado,mujer,-,-,sur,-,-,-,19.9,17.8,22.3,2699000
2021,estratificado,hombre,-,-,-,primaria o menos,-,-,11.5,9.5,13.7,1248000
2021,estratificado,hombre,-,-,-,secundaria,-,-,11.9,10,14,1258000
2021,estratificado,hombre,-,-,-,media,-,-,13.5,10.3,17.4,1274000
2021,estratificado,hombre,-,-,-,superior,-,-,12.5,10.3,15.1,1210000
2021,estratificado,mujer,-,-,-,primaria o menos,-,-,21.3,19.3,23.5,2659000
2021,estratificado,mujer,-,-,-,secundaria,-,-,15.2,13.4,17.3,1967000
2021,estratificado,mujer,-,-,-,media,-,-,14.4,12.4,16.6,1440000
2021,estratificado,mujer,-,-,-,superior,-,-,11.2,9.1,13.7,992000
2021,estratificado,hombre,-,-,-,-,bajo,-,9.5,8,11.4,1176000
2021,estratificado,hombre,-,-,-,-,medio,-,14.7,12.1,17.6,1839000
2021,estratificado,hombre,-,-,-,-,alto,-,12.6,10.8,14.6,1976000
2021,estratificado,mujer,-,-,-,-,bajo,-,16.3,14.5,18.3,2128000
2021,estratificado,mujer,-,-,-,-,medio,-,15.9,14.2,17.7,2261000
2021,estratificado,mujer,-,-,-,-,alto,-,15.7,14,17.7,2669000
2021,estratificado,hombre,-,-,-,-,-,no,11.8,10.6,13.3,4485000
2021,estratificado,hombre,-,-,-,-,-,si,18.7,13.7,25,505000
2021,estratificado,mujer,-,-,-,-,-,no,14.6,13.6,15.7,5876000
2021,estratificado,mujer,-,-,-,-,-,si,29.3,25.3,33.5,1182000
2022,nacional,-,-,-,-,-,-,-,16.8,15.8,17.9,14400000
2022,estratificado,hombre,-,-,-,-,-,-,15.1,13.5,16.9,6186000
2022,estratificado,mujer,-,-,-,-,-,-,18.4,17.2,19.7,8214000
2022,estratificado,-,20-39,-,-,-,-,-,9.9,8.5,11.4,3794000
2022,estratificado,-,40-59,-,-,-,-,-,21.3,19.6,23.2,6398000
2022,estratificado,-,60+,-,-,-,-,-,24.6,22.5,26.9,4208000
2022,estratificado,-,-,rural,-,-,-,-,13.2,11.4,15.4,2271000
2022,estratificado,-,-,urbano,-,-,-,-,17.7,16.6,19,12129000
2022,estratificado,-,-,-,norte ,-,-,-,16.6,14.9,18.5,2931000
2022,estratificado,-,-,-,centro,-,-,-,15.5,13.9,17.1,5012000
2022,estratificado,-,-,-,cdmx,-,-,-,25.2,21.7,29,2381000
2022,estratificado,-,-,-,sur,-,-,-,15.7,13.7,17.9,4076000
2022,estratificado,-,-,-,-,primaria o menos,-,-,18.9,17,20.8,4463000
2022,estratificado,-,-,-,-,secundaria,-,-,17,15.3,18.9,3920000
2022,estratificado,-,-,-,-,media,-,-,16.4,14.4,18.5,3342000
2022,estratificado,-,-,-,-,superior,-,-,14.5,12.3,17.1,2675000
2022,estratificado,-,-,-,-,-,bajo,-,14.4,12.7,16.4,3696000
2022,estratificado,-,-,-,-,-,medio,-,16.9,15.3,18.7,4720000
2022,estratificado,-,-,-,-,-,alto,-,18.7,16.9,20.6,5984000
2022,estratificado,-,-,-,-,-,-,no,15.4,14.3,16.6,11872000
2022,estratificado,-,-,-,-,-,-,si,30,26.4,33.9,2528000
2022,estratificado,hombre,20-39,-,-,-,-,-,9.8,7.8,12.2,1819000
2022,estratificado,hombre,40-59,-,-,-,-,-,19.5,17.1,22.2,2861000
2022,estratificado,hombre,60+,-,-,-,-,-,19.7,16.6,23.4,1506000
2022,estratificado,mujer,20-39,-,-,-,-,-,10,8.4,11.8,1975000
2022,estratificado,mujer,40-59,-,-,-,-,-,23.1,20.6,25.8,3537000
2022,estratificado,mujer,60+,-,-,-,-,-,28.5,25.2,32.1,2702000
2022,estratificado,hombre,-,rural,-,-,-,-,11.4,8.8,14.7,942000
2022,estratificado,hombre,-,urbano,-,-,-,-,16,14.2,18.1,5244000
2022,estratificado,mujer,-,rural,-,-,-,-,14.9,12.7,17.4,1328000
2022,estratificado,mujer,-,urbano,-,-,-,-,19.3,17.9,20.8,6885000
2022,estratificado,hombre,-,-,norte ,-,-,-,15.2,13.1,17.5,1348000
2022,estratificado,hombre,-,-,centro,-,-,-,14.2,11.4,17.5,2175000
2022,estratificado,hombre,-,-,cdmx,-,-,-,21.7,16.2,28.4,975000
2022,estratificado,hombre,-,-,sur,-,-,-,13.8,11.2,17.1,1688000
2022,estratificado,mujer,-,-,norte ,-,-,-,18.1,15.8,20.6,1583000
2022,estratificado,mujer,-,-,centro,-,-,-,16.6,15,18.3,2837000
2022,estratificado,mujer,-,-,cdmx,-,-,-,28.4,23.5,33.8,1406000
2022,estratificado,mujer,-,-,sur,-,-,-,17.3,14.9,19.9,2388000
2022,estratificado,hombre,-,-,-,primaria o menos,-,-,14.9,12.3,17.8,1613000
2022,estratificado,hombre,-,-,-,secundaria,-,-,15.2,12.5,18.3,1656000
2022,estratificado,hombre,-,-,-,media,-,-,14.6,11.8,17.8,1372000
2022,estratificado,hombre,-,-,-,superior,-,-,15.9,12.6,19.8,1545000
2022,estratificado,mujer,-,-,-,primaria o menos,-,-,22.2,19.9,24.7,2849000
2022,estratificado,mujer,-,-,-,secundaria,-,-,18.7,16.7,20.9,2264000
2022,estratificado,mujer,-,-,-,media,-,-,18,15.5,20.7,1970000
2022,estratificado,mujer,-,-,-,superior,-,-,13,10.3,16.1,1130000
2022,estratificado,hombre,-,-,-,-,bajo,-,12.2,9.7,15.2,1465000
2022,estratificado,hombre,-,-,-,-,medio,-,15,12.4,17.9,2025000
2022,estratificado,hombre,-,-,-,-,alto,-,17.5,14.9,20.4,2696000
2022,estratificado,mujer,-,-,-,-,bajo,-,16.4,14.4,18.6,2231000
2022,estratificado,mujer,-,-,-,-,medio,-,18.7,16.7,20.9,2695000
2022,estratificado,mujer,-,-,-,-,alto,-,19.8,17.4,22.4,3287000
2022,estratificado,hombre,-,-,-,-,-,no,14.4,12.8,16.2,5429000
2022,estratificado,hombre,-,-,-,-,-,si,22.9,17.4,29.4,757000
2022,estratificado,mujer,-,-,-,-,-,no,16.3,15,17.7,6442000
2022,estratificado,mujer,-,-,-,-,-,si,34.6,29.8,39.8,1771000
2023,nacional,-,-,-,-,-,-,-,15.2,13.5,17.1,13065000
2023,estratificado,hombre,-,-,-,-,-,-,13.9,11.8,16.2,5703000
2023,estratificado,mujer,-,-,-,-,-,-,16.4,13.8,19.4,7362000
2023,estratificado,-,20-39,-,-,-,-,-,7.4,5.6,9.7,2896000
2023,estratificado,-,40-59,-,-,-,-,-,19.8,17.3,22.4,5770000
2023,estratificado,-,60+,-,-,-,-,-,25.3,21.2,29.8,4399000
2023,estratificado,-,-,rural,-,-,-,-,15.3,13.3,17.5,2599000
2023,estratificado,-,-,urbano,-,-,-,-,15.2,13.1,17.5,10466000
2023,estratificado,-,-,-,norte ,-,-,-,9.4,6.2,14,1504000
2023,estratificado,-,-,-,centro,-,-,-,15.2,12.8,18.1,5947000
2023,estratificado,-,-,-,cdmx,-,-,-,24.8,17.3,34.3,1855000
2023,estratificado,-,-,-,sur,-,-,-,16.1,13.9,18.5,3759000
2023,estratificado,-,-,-,-,primaria o menos,-,-,18.4,15.3,22,3667000
2023,estratificado,-,-,-,-,secundaria,-,-,14.6,11.9,17.8,3746000
2023,estratificado,-,-,-,-,media,-,-,13.4,10.3,17.4,2925000
2023,estratificado,-,-,-,-,superior,-,-,14.7,12.2,17.6,2728000
2023,estratificado,-,-,-,-,-,bajo,-,11.8,9.7,14.3,3232000
2023,estratificado,-,-,-,-,-,medio,-,15.3,12.9,18.1,3940000
2023,estratificado,-,-,-,-,-,alto,-,17.9,14.9,21.4,5893000
2023,estratificado,-,-,-,-,-,-,no,13.3,11.5,15.3,9552000
2023,estratificado,-,-,-,-,-,-,si,25.1,18.4,33.2,1310000
2023,estratificado,hombre,20-39,-,-,-,-,-,7.5,5.5,10.2,1425000
2023,estratificado,hombre,40-59,-,-,-,-,-,18.1,14.7,22.2,2386000
2023,estratificado,hombre,60+,-,-,-,-,-,21,16.1,26.9,1892000
2023,estratificado,mujer,20-39,-,-,-,-,-,7.2,4.9,10.5,1471000
2023,estratificado,mujer,40-59,-,-,-,-,-,21.1,17.6,25.1,3383000
2023,estratificado,mujer,60+,-,-,-,-,-,29.9,24,36.4,2507000
2023,estratificado,hombre,-,rural,-,-,-,-,13,9.8,17,1051000
2023,estratificado,hombre,-,urbano,-,-,-,-,14.1,11.7,16.9,4652000
2023,estratificado,mujer,-,rural,-,-,-,-,17.4,13.2,22.5,1548000
2023,estratificado,mujer,-,urbano,-,-,-,-,16.2,13.1,19.8,5813000
2023,estratificado,hombre,-,-,norte ,-,-,-,,,,
2023,estratificado,hombre,-,-,centro,-,-,-,,,,
2023,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2023,estratificado,hombre,-,-,sur,-,-,-,,,,
2023,estratificado,mujer,-,-,norte ,-,-,-,,,,
2023,estratificado,mujer,-,-,centro,-,-,-,,,,
2023,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2023,estratificado,mujer,-,-,sur,-,-,-,,,,
2023,estratificado,hombre,-,-,-,primaria o menos,-,-,13.4,10.4,17.3,1160000
2023,estratificado,hombre,-,-,-,secundaria,-,-,14.4,9.9,20.3,1664000
2023,estratificado,hombre,-,-,-,media,-,-,12.5,9.4,16.5,1362000
2023,estratificado,hombre,-,-,-,superior,-,-,15.1,11.4,19.7,1518000
2023,estratificado,mujer,-,-,-,primaria o menos,-,-,22.2,17.9,27.1,2507000
2023,estratificado,mujer,-,-,-,secundaria,-,-,14.8,11.2,19.1,2082000
2023,estratificado,mujer,-,-,-,media,-,-,14.3,9.8,20.4,1563000
2023,estratificado,mujer,-,-,-,superior,-,-,14.2,10.5,19.1,1210000
2023,estratificado,hombre,-,-,-,-,bajo,-,8.6,6.8,10.9,1087000
2023,estratificado,hombre,-,-,-,-,medio,-,13.3,9.7,18,1593000
2023,estratificado,hombre,-,-,-,-,alto,-,18.2,14.5,22.5,3023000
2023,estratificado,mujer,-,-,-,-,bajo,-,14.6,10.8,19.4,2144000
2023,estratificado,mujer,-,-,-,-,medio,-,17,13.9,20.6,2346000
2023,estratificado,mujer,-,-,-,-,alto,-,17.6,13.6,22.5,2871000
2023,estratificado,hombre,-,-,-,-,-,no,,,,
2023,estratificado,hombre,-,-,-,-,-,si,,,,
2023,estratificado,mujer,-,-,-,-,-,no,,,,
2023,estratificado,mujer,-,-,-,-,-,si,,,,
