Desglose Geográfico,Desglose por sexo,edad_agrupada,Nombre de medidas,Todas las causas,Prom. Número de registros,Valores de medidas
Nacional,Ambos Sexos,20 a 24,Años persona vividos acumulados,Todas las causas no excluídas,1,5538802.48370185
Nacional,Ambos Sexos,15 a 19,Años persona vividos acumulados,Todas las causas no excluídas,1,6030343.50695226
Nacional,Ambos Sexos,10 a 14,Años persona vividos acumulados,Todas las causas no excluídas,1,6523179.5941669
Nacional,Ambos Sexos,5 a 9,Años persona vividos acumulados,Todas las causas no excluídas,1,7016617.9680744
Nacional,Ambos Sexos,1 a 4,Años persona vividos acumulados,Todas las causas no excluídas,1,7411907.90645036
Nacional,Ambos Sexos,Menor de 1,Años persona vividos acumulados,Todas las causas no excluídas,1,7511003.25961008
Nacional,Ambos Sexos,85 años y +,Años persona vividos,Todas las causas no excluídas,1,196268.046589562
Nacional,Ambos Sexos,80 a 84,Años persona vividos,Todas las causas no excluídas,1,208984.627577167
Nacional,Ambos Sexos,75 a 79,Años persona vividos,Todas las causas no excluídas,1,278572.001658735
Nacional,Ambos Sexos,70 a 74,Años persona vividos,Todas las causas no excluídas,1,334018.135788986
Nacional,Ambos Sexos,65 a 69,Años persona vividos,Todas las causas no excluídas,1,376558.11316262
Nacional,Ambos Sexos,60 a 64,Años persona vividos,Todas las causas no excluídas,1,408521.540816601
Nacional,Ambos Sexos,55 a 59,Años persona vividos,Todas las causas no excluídas,1,431685.465121298
Nacional,Ambos Sexos,50 a 54,Años persona vividos,Todas las causas no excluídas,1,447889.722221958
Nacional,Ambos Sexos,45 a 49,Años persona vividos,Todas las causas no excluídas,1,459525.581412653
Nacional,Ambos Sexos,40 a 44,Años persona vividos,Todas las causas no excluídas,1,468285.366252483
Nacional,Ambos Sexos,35 a 39,Años persona vividos,Todas las causas no excluídas,1,474766.440770631
Nacional,Ambos Sexos,30 a 34,Años persona vividos,Todas las causas no excluídas,1,480176.740588765
Nacional,Ambos Sexos,25 a 29,Años persona vividos,Todas las causas no excluídas,1,484827.563422189
Nacional,Ambos Sexos,20 a 24,Años persona vividos,Todas las causas no excluídas,1,488723.1383182
Nacional,Ambos Sexos,15 a 19,Años persona vividos,Todas las causas no excluídas,1,491541.023250409
Nacional,Ambos Sexos,10 a 14,Años persona vividos,Todas las causas no excluídas,1,492836.087214636
Nacional,Ambos Sexos,5 a 9,Años persona vividos,Todas las causas no excluídas,1,493438.3739075
Nacional,Ambos Sexos,1 a 4,Años persona vividos,Todas las causas no excluídas,1,395289.938375968
Nacional,Ambos Sexos,Menor de 1,Años persona vividos,Todas las causas no excluídas,1,99095.353159721
Nacional,Ambos Sexos,85 años y +,Defunciones,Todas las causas no excluídas,1,34116.131911019
Nacional,Ambos Sexos,80 a 84,Defunciones,Todas las causas no excluídas,1,15244.437517616
Nacional,Ambos Sexos,75 a 79,Defunciones,Todas las causas no excluídas,1,12471.201206033
Nacional,Ambos Sexos,70 a 74,Defunciones,Todas las causas no excluídas,1,9775.461168935
Nacional,Ambos Sexos,65 a 69,Defunciones,Todas las causas no excluídas,1,7297.549893829
Nacional,Ambos Sexos,60 a 64,Defunciones,Todas las causas no excluídas,1,5415.157031531
Nacional,Ambos Sexos,55 a 59,Defunciones,Todas las causas no excluídas,1,3861.191352339
Nacional,Ambos Sexos,50 a 54,Defunciones,Todas las causas no excluídas,1,2691.918700097
Nacional,Ambos Sexos,45 a 49,Defunciones,Todas las causas no excluídas,1,2007.666007856
Nacional,Ambos Sexos,40 a 44,Defunciones,Todas las causas no excluídas,1,1472.434720052
Nacional,Ambos Sexos,35 a 39,Defunciones,Todas las causas no excluídas,1,1161.726871859
Nacional,Ambos Sexos,30 a 34,Defunciones,Todas las causas no excluídas,1,1023.928595717
Nacional,Ambos Sexos,25 a 29,Defunciones,Todas las causas no excluídas,1,843.512160588
Nacional,Ambos Sexos,20 a 24,Defunciones,Todas las causas no excluídas,1,689.927590676
Nacional,Ambos Sexos,15 a 19,Defunciones,Todas las causas no excluídas,1,417.137121428
Nacional,Ambos Sexos,10 a 14,Defunciones,Todas las causas no excluídas,1,142.010301601
Nacional,Ambos Sexos,5 a 9,Defunciones,Todas las causas no excluídas,1,113.159560513
Nacional,Ambos Sexos,1 a 4,Defunciones,Todas las causas no excluídas,1,212.782263830
Nacional,Ambos Sexos,Menor de 1,Defunciones,Todas las causas no excluídas,1,1042.666024480
Nacional,Ambos Sexos,85 años y +,Personas vivas,Todas las causas no excluídas,1,34116.131911019
Nacional,Ambos Sexos,80 a 84,Personas vivas,Todas las causas no excluídas,1,49360.569428634
Nacional,Ambos Sexos,75 a 79,Personas vivas,Todas las causas no excluídas,1,61831.770634667
Nacional,Ambos Sexos,70 a 74,Personas vivas,Todas las causas no excluídas,1,71607.231803602
Nacional,Ambos Sexos,65 a 69,Personas vivas,Todas las causas no excluídas,1,78904.781697431
Nacional,Ambos Sexos,60 a 64,Personas vivas,Todas las causas no excluídas,1,84319.938728962
Nacional,Ambos Sexos,55 a 59,Personas vivas,Todas las causas no excluídas,1,88181.130081302
Nacional,Ambos Sexos,50 a 54,Personas vivas,Todas las causas no excluídas,1,90873.048781399
Nacional,Ambos Sexos,45 a 49,Personas vivas,Todas las causas no excluídas,1,92880.714789255
Nacional,Ambos Sexos,40 a 44,Personas vivas,Todas las causas no excluídas,1,94353.149509307
Nacional,Ambos Sexos,35 a 39,Personas vivas,Todas las causas no excluídas,1,95514.876381166
Nacional,Ambos Sexos,30 a 34,Personas vivas,Todas las causas no excluídas,1,96538.804976883
Nacional,Ambos Sexos,25 a 29,Personas vivas,Todas las causas no excluídas,1,97382.317137471
Nacional,Ambos Sexos,20 a 24,Personas vivas,Todas las causas no excluídas,1,98072.244728147
Nacional,Ambos Sexos,15 a 19,Personas vivas,Todas las causas no excluídas,1,98489.381849575
Nacional,Ambos Sexos,10 a 14,Personas vivas,Todas las causas no excluídas,1,98631.392151177
Nacional,Ambos Sexos,5 a 9,Personas vivas,Todas las causas no excluídas,1,98744.55171169
Nacional,Ambos Sexos,1 a 4,Personas vivas,Todas las causas no excluídas,1,98957.333975520
Nacional,Ambos Sexos,Menor de 1,Personas vivas,Todas las causas no excluídas,1,100000
Nacional,Ambos Sexos,85 años y +,Prob. neta de morir,Todas las causas no excluídas,1,1
Nacional,Ambos Sexos,80 a 84,Prob. neta de morir,Todas las causas no excluídas,1,0.308838364
Nacional,Ambos Sexos,75 a 79,Prob. neta de morir,Todas las causas no excluídas,1,0.201695683
Nacional,Ambos Sexos,70 a 74,Prob. neta de morir,Todas las causas no excluídas,1,0.136514999
Nacional,Ambos Sexos,65 a 69,Prob. neta de morir,Todas las causas no excluídas,1,0.092485522
Nacional,Ambos Sexos,60 a 64,Prob. neta de morir,Todas las causas no excluídas,1,0.064221549
Nacional,Ambos Sexos,55 a 59,Prob. neta de morir,Todas las causas no excluídas,1,0.043787048
Nacional,Ambos Sexos,50 a 54,Prob. neta de morir,Todas las causas no excluídas,1,0.029622850
Nacional,Ambos Sexos,45 a 49,Prob. neta de morir,Todas las causas no excluídas,1,0.021615531
Nacional,Ambos Sexos,40 a 44,Prob. neta de morir,Todas las causas no excluídas,1,0.015605570
Nacional,Ambos Sexos,35 a 39,Prob. neta de morir,Todas las causas no excluídas,1,0.012162785
Nacional,Ambos Sexos,30 a 34,Prob. neta de morir,Todas las causas no excluídas,1,0.010606394
Nacional,Ambos Sexos,25 a 29,Prob. neta de morir,Todas las causas no excluídas,1,0.008661862
Nacional,Ambos Sexos,20 a 24,Prob. neta de morir,Todas las causas no excluídas,1,0.007034891
