Desglose Geográfico,Desglose por sexo,edad_agrupada,Nombre de medidas,Todas las causas,Prom. Número de registros,Valores de medidas
Nacional,Ambos Sexos,85 años y +,Tasa (Gral.) ,Todas las causas no excluídas,1,0.141979524
Nacional,Ambos Sexos,80 a 84,Tasa (Gral.) ,Todas las causas no excluídas,1,0.072945258
Nacional,Ambos Sexos,75 a 79,Tasa (Gral.) ,Todas las causas no excluídas,1,0.044768323
Nacional,Ambos Sexos,70 a 74,Tasa (Gral.) ,Todas las causas no excluídas,1,0.029266259
Nacional,Ambos Sexos,65 a 69,Tasa (Gral.) ,Todas las causas no excluídas,1,0.019379611
Nacional,Ambos Sexos,60 a 64,Tasa (Gral.) ,Todas las causas no excluídas,1,0.013255499
Nacional,Ambos Sexos,55 a 59,Tasa (Gral.) ,Todas las causas no excluídas,1,0.008944455
Nacional,Ambos Sexos,50 a 54,Tasa (Gral.) ,Todas las causas no excluídas,1,0.006010227
Nacional,Ambos Sexos,45 a 49,Tasa (Gral.) ,Todas las causas no excluídas,1,0.004368997
Nacional,Ambos Sexos,40 a 44,Tasa (Gral.) ,Todas las causas no excluídas,1,0.003144311
Nacional,Ambos Sexos,35 a 39,Tasa (Gral.) ,Todas las causas no excluídas,1,0.002446944
Nacional,Ambos Sexos,30 a 34,Tasa (Gral.) ,Todas las causas no excluídas,1,0.002132399
Nacional,Ambos Sexos,25 a 29,Tasa (Gral.) ,Todas las causas no excluídas,1,0.001739819
Nacional,Ambos Sexos,20 a 24,Tasa (Gral.) ,Todas las causas no excluídas,1,0.001411694
Nacional,Ambos Sexos,15 a 19,Tasa (Gral.) ,Todas las causas no excluídas,1,0.000848631
Nacional,Ambos Sexos,10 a 14,Tasa (Gral.) ,Todas las causas no excluídas,1,0.000288149
Nacional,Ambos Sexos,5 a 9,Tasa (Gral.) ,Todas las causas no excluídas,1,0.000229329
Nacional,Ambos Sexos,1 a 4,Tasa (Gral.) ,Todas las causas no excluídas,1,0.000538294
Nacional,Ambos Sexos,Menor de 1,Tasa (Gral.) ,Todas las causas no excluídas,1,0.010521846
Nacional,Ambos Sexos,85 años y +,Muertes (Gral.),Todas las causas no excluídas,1,130760.302223358
Nacional,Ambos Sexos,80 a 84,Muertes (Gral.),Todas las causas no excluídas,1,76872.630393028
Nacional,Ambos Sexos,75 a 79,Muertes (Gral.),Todas las causas no excluídas,1,74596.067941646
Nacional,Ambos Sexos,70 a 74,Muertes (Gral.),Todas las causas no excluídas,1,70712.431854998
Nacional,Ambos Sexos,65 a 69,Muertes (Gral.),Todas las causas no excluídas,1,65022.336433770
Nacional,Ambos Sexos,60 a 64,Muertes (Gral.),Todas las causas no excluídas,1,59955.193687971
Nacional,Ambos Sexos,55 a 59,Muertes (Gral.),Todas las causas no excluídas,1,50766.322301925
Nacional,Ambos Sexos,50 a 54,Muertes (Gral.),Todas las causas no excluídas,1,40400.147858574
Nacional,Ambos Sexos,45 a 49,Muertes (Gral.),Todas las causas no excluídas,1,33791.821470284
Nacional,Ambos Sexos,40 a 44,Muertes (Gral.),Todas las causas no excluídas,1,26082.488599059
Nacional,Ambos Sexos,35 a 39,Muertes (Gral.),Todas las causas no excluídas,1,21686.292828542
Nacional,Ambos Sexos,30 a 34,Muertes (Gral.),Todas las causas no excluídas,1,20798.184868072
Nacional,Ambos Sexos,25 a 29,Muertes (Gral.),Todas las causas no excluídas,1,18406.433245224
Nacional,Ambos Sexos,20 a 24,Muertes (Gral.),Todas las causas no excluídas,1,15331.512222170
Nacional,Ambos Sexos,15 a 19,Muertes (Gral.),Todas las causas no excluídas,1,9386.060446062
Nacional,Ambos Sexos,10 a 14,Muertes (Gral.),Todas las causas no excluídas,1,3211.080288508
Nacional,Ambos Sexos,5 a 9,Muertes (Gral.),Todas las causas no excluídas,1,2537.082445790
Nacional,Ambos Sexos,1 a 4,Muertes (Gral.),Todas las causas no excluídas,1,4704.278053509
Nacional,Ambos Sexos,Menor de 1,Muertes (Gral.),Todas las causas no excluídas,1,22650.408998282
Nacional,Ambos Sexos,85 años y +,Población ,Todas las causas no excluídas,1,920980
Nacional,Ambos Sexos,80 a 84,Población ,Todas las causas no excluídas,1,1053840
Nacional,Ambos Sexos,75 a 79,Población ,Todas las causas no excluídas,1,1666269
Nacional,Ambos Sexos,70 a 74,Población ,Todas las causas no excluídas,1,2416176
Nacional,Ambos Sexos,65 a 69,Población ,Todas las causas no excluídas,1,3355193
Nacional,Ambos Sexos,60 a 64,Población ,Todas las causas no excluídas,1,4523043
Nacional,Ambos Sexos,55 a 59,Población ,Todas las causas no excluídas,1,5675731
Nacional,Ambos Sexos,50 a 54,Población ,Todas las causas no excluídas,1,6721901
Nacional,Ambos Sexos,45 a 49,Población ,Todas las causas no excluídas,1,7734457
Nacional,Ambos Sexos,40 a 44,Población ,Todas las causas no excluídas,1,8295137
Nacional,Ambos Sexos,35 a 39,Población ,Todas las causas no excluídas,1,8862603
Nacional,Ambos Sexos,30 a 34,Población ,Todas las causas no excluídas,1,9753419
Nacional,Ambos Sexos,25 a 29,Población ,Todas las causas no excluídas,1,10579511
Nacional,Ambos Sexos,20 a 24,Población ,Todas las causas no excluídas,1,10860364
Nacional,Ambos Sexos,15 a 19,Población ,Todas las causas no excluídas,1,11060233
Nacional,Ambos Sexos,10 a 14,Población ,Todas las causas no excluídas,1,11143813
Nacional,Ambos Sexos,5 a 9,Población ,Todas las causas no excluídas,1,11063085
Nacional,Ambos Sexos,1 a 4,Población ,Todas las causas no excluídas,1,8739233
Nacional,Ambos Sexos,Menor de 1,Población ,Todas las causas no excluídas,1,2152703
