año,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2022,hombre,-,-,sur,-,-,-,,,,
2022,mujer,-,-,norte ,-,-,-,,,,
2022,mujer,-,-,centro,-,-,-,,,,
2022,mujer,-,-,cdmx,-,-,-,,,,
2022,mujer,-,-,sur,-,-,-,,,,
2022,hombre,-,-,-,primaria o menos ,-,-,,,,
2022,hombre,-,-,-,secundaria,-,-,,,,
2022,hombre,-,-,-,media,-,-,,,,
2022,hombre,-,-,-,superior,-,-,,,,
2022,mujer,-,-,-,primaria o menos ,-,-,,,,
2022,mujer,-,-,-,secundaria,-,-,,,,
2022,mujer,-,-,-,media,-,-,,,,
2022,mujer,-,-,-,superior,-,-,,,,
2022,hombre,-,-,-,-,bajo,-,6.4,4,10,704000
2022,hombre,-,-,-,-,medio,-,8.4,5,13.9,1033000
2022,hombre,-,-,-,-,alto,-,18.7,12.3,27.3,2435000
2022,mujer,-,-,-,-,bajo,-,12.4,8.7,17.4,1280000
2022,mujer,-,-,-,-,medio,-,17.7,13,23.6,2463000
2022,mujer,-,-,-,-,alto,-,11.8,8,17.1,1742000
2022,hombre,-,-,-,-,-,no,10.4,7.4,14.5,3404000
2022,hombre,-,-,-,-,-,si,21.3,11.4,36.3,768000
2022,mujer,-,-,-,-,-,no,11.3,8.7,14.6,3864000
2022,mujer,-,-,-,-,-,si,33.1,23.2,44.7,1621000
2023,-,-,-,-,-,-,-,12.2,9.6,15.3,8967000
2023,hombre,-,-,-,-,-,-,11.7,7.8,17.2,4198000
2023,mujer,-,-,-,-,-,-,12.6,10,15.8,4769000
2023,-,20-39,-,-,-,-,-,,,,
2023,-,40-59,-,-,-,-,-,12.9,8.3,19.5,3666000
2023,-,60+,-,-,-,-,-,32,24.2,41,4924000
2023,-,-,rural,-,-,-,-,,,,
2023,-,-,urbano,-,-,-,-,,,,
2023,-,-,-,norte ,-,-,-,,,,
2023,-,-,-,centro,-,-,-,,,,
2023,-,-,-,cdmx,-,-,-,,,,
2023,-,-,-,sur,-,-,-,,,,
2023,-,-,-,-,primaria o menos ,-,-,,,,
2023,-,-,-,-,secundaria,-,-,,,,
2023,-,-,-,-,media,-,-,,,,
2023,-,-,-,-,superior,-,-,,,,
2023,-,-,-,-,-,bajo,-,10.4,7,15.2,2620000
2023,-,-,-,-,-,medio,-,14.7,10,21.2,3133000
2023,-,-,-,-,-,alto,-,11.8,7.6,17.9,3214000
2023,-,-,-,-,-,-,no,,,,
2023,-,-,-,-,-,-,si,,,,
2023,hombre,20-39,-,-,-,-,-,,,,
2023,hombre,40-59,-,-,-,-,-,,,,
2023,hombre,60+,-,-,-,-,-,,,,
2023,mujer,20-39,-,-,-,-,-,,,,
2023,mujer,40-59,-,-,-,-,-,,,,
2023,mujer,60+,-,-,-,-,-,,,,
2023,hombre,-,rural,-,-,-,-,,,,
2023,hombre,-,urbano,-,-,-,-,,,,
2023,mujer,-,rural,-,-,-,-,,,,
2023,mujer,-,urbano,-,-,-,-,,,,
2023,hombre,-,-,norte ,-,-,-,,,,
2023,hombre,-,-,centro,-,-,-,,,,
2023,hombre,-,-,cdmx,-,-,-,,,,
2023,hombre,-,-,sur,-,-,-,,,,
2023,mujer,-,-,norte ,-,-,-,,,,
2023,mujer,-,-,centro,-,-,-,,,,
2023,mujer,-,-,cdmx,-,-,-,,,,
2023,mujer,-,-,sur,-,-,-,,,,
2023,hombre,-,-,-,primaria o menos ,-,-,,,,
2023,hombre,-,-,-,secundaria,-,-,,,,
2023,hombre,-,-,-,media,-,-,,,,
2023,hombre,-,-,-,superior,-,-,,,,
2023,mujer,-,-,-,primaria o menos ,-,-,,,,
2023,mujer,-,-,-,secundaria,-,-,,,,
2023,mujer,-,-,-,media,-,-,,,,
2023,mujer,-,-,-,superior,-,-,,,,
2023,hombre,-,-,-,-,bajo,-,,,,
2023,hombre,-,-,-,-,medio,-,,,,
2023,hombre,-,-,-,-,alto,-,,,,
2023,mujer,-,-,-,-,bajo,-,,,,
2023,mujer,-,-,-,-,medio,-,,,,
2023,mujer,-,-,-,-,alto,-,,,,
2023,hombre,-,-,-,-,-,no,,,,
2023,hombre,-,-,-,-,-,si,,,,
2023,mujer,-,-,-,-,-,no,,,,
2023,mujer,-,-,-,-,-,si,,,,
