año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_que_sufrieron_accidente,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_que_sufrieron_accidente
2021,estratificado,-,-,-,norte ,-,-,-,3.1,2.1,4.4,"530,367"
2021,estratificado,-,-,-,centro,-,-,-,4.6,4,5.4,"1,538,384"
2021,estratificado,-,-,-,cdmx,-,-,-,6,4.8,7.5,"510,162"
2021,estratificado,-,-,-,sur,-,-,-,4.4,3.5,5.4,"1,125,796"
2021,estratificado,-,-,-,-,primaria o menos,-,-,4,3.4,4.8,"932,364"
2021,estratificado,-,-,-,-,secundaria,-,-,5,4.2,6,"1,174,179"
2021,estratificado,-,-,-,-,media,-,-,4.3,3.3,5.6,"834,647"
2021,estratificado,-,-,-,-,superior,-,-,4,3.1,5.3,"737,506"
2021,estratificado,-,-,-,-,-,bajo,-,4.9,4.1,5.9,"1,238,771"
2021,estratificado,-,-,-,-,-,medio,-,4.5,3.8,5.5,"1,203,182"
2021,estratificado,-,-,-,-,-,alto,-,3.8,3.1,4.7,"1,239,648"
2021,estratificado,-,-,-,-,-,-,no,3.1,2.5,3.9,"941,654"
2021,estratificado,-,-,-,-,-,-,si,5.1,4.4,5.8,"2,767,505"
2021,estratificado,hombre,20-39,-,-,-,-,-,5.9,4.8,7.3,"1,116,361"
2021,estratificado,hombre,40-59,-,-,-,-,-,4.9,3.7,6.5,"663,090"
2021,estratificado,hombre,60+,-,-,-,-,-,4.1,2.8,5.9,"329,610"
2021,estratificado,mujer,20-39,-,-,-,-,-,2.7,2,3.7,"548,752"
2021,estratificado,mujer,40-59,-,-,-,-,-,3.1,2.4,3.9,"492,203"
2021,estratificado,mujer,60+,-,-,-,-,-,6.8,5.3,8.7,"540,327"
2021,estratificado,hombre,-,rural,-,-,-,-,5,3.6,7,"413,667"
2021,estratificado,hombre,-,urbano,-,-,-,-,5.3,4.3,6.4,"1,707,646"
2021,estratificado,mujer,-,rural,-,-,-,-,2.7,1.8,3.9,"230,936"
2021,estratificado,mujer,-,urbano,-,-,-,-,3.8,3.3,4.4,"1,352,590"
2021,estratificado,hombre,-,-,norte ,-,-,-,3.6,2.2,5.7,"299,319"
2021,estratificado,hombre,-,-,centro,-,-,-,5.6,4.4,7.1,"911,204"
2021,estratificado,hombre,-,-,cdmx,-,-,-,6,4.2,8.5,"229,509"
2021,estratificado,hombre,-,-,sur,-,-,-,5.5,3.9,7.8,"664,511"
2021,estratificado,mujer,-,-,norte ,-,-,-,2.6,1.6,4.2,"228,650"
2021,estratificado,mujer,-,-,centro,-,-,-,3.6,3,4.4,"618,179"
2021,estratificado,mujer,-,-,cdmx,-,-,-,6,4.4,8.3,"280,652"
2021,estratificado,mujer,-,-,sur,-,-,-,3.3,2.5,4.4,"445,641"
2021,estratificado,hombre,-,-,-,primaria o menos,-,-,3.9,3,5.1,"422,600"
2021,estratificado,hombre,-,-,-,secundaria,-,-,6.3,4.8,8.2,"667,203"
2021,estratificado,hombre,-,-,-,media,-,-,5.6,3.9,8,"528,000"
2021,estratificado,hombre,-,-,-,superior,-,-,5.1,3.7,7.1,"491,542"
2021,estratificado,mujer,-,-,-,primaria o menos,-,-,4.1,3.2,5.4,"511,402"
2021,estratificado,mujer,-,-,-,secundaria,-,-,4,3.1,5.2,"515,722"
2021,estratificado,mujer,-,-,-,media,-,-,3,2.3,4.1,"299,455"
2021,estratificado,mujer,-,-,-,superior,-,-,2.8,1.7,4.6,"246,388"
2021,estratificado,hombre,-,-,-,-,bajo,-,5.8,4.5,7.6,"710,632"
2021,estratificado,hombre,-,-,-,-,medio,-,5.4,4.2,7.1,"676,972"
2021,estratificado,hombre,-,-,-,-,alto,-,4.5,3.3,6.2,"706,693"
2021,estratificado,mujer,-,-,-,-,bajo,-,4,3.1,5.1,"521,151"
2021,estratificado,mujer,-,-,-,-,medio,-,3.7,2.9,4.9,"525,432"
2021,estratificado,mujer,-,-,-,-,alto,-,3.1,2.4,4.1,"524,459"
2021,estratificado,hombre,-,-,-,-,-,no,4.4,3.4,5.7,"744,949"
2021,estratificado,hombre,-,-,-,-,-,si,5.8,4.7,7.2,"1,366,620"
2021,estratificado,mujer,-,-,-,-,-,no,1.5,1,2.4,"201,679"
2021,estratificado,mujer,-,-,-,-,-,si,4.5,3.9,5.2,"1,381,608"
2022,nacional,-,-,-,-,-,-,-,6.2,5.6,6.8,"5,296,544"
2022,estratificado,hombre,-,-,-,-,-,-,7.1,6.2,8.2,"2,903,903"
2022,estratificado,mujer,-,-,-,-,-,-,5.2,4.5,6.1,"2,315,461"
2022,estratificado,-,20-39,-,-,-,-,-,6.7,5.8,7.7,"2,575,437"
2022,estratificado,-,40-59,-,-,-,-,-,5.2,4.3,6.1,"1,555,412"
2022,estratificado,-,60+,-,-,-,-,-,6.7,5.7,7.9,"1,144,159"
2022,estratificado,-,-,rural,-,-,-,-,6.8,5.5,8.4,"1,165,317"
2022,estratificado,-,-,urbano,-,-,-,-,6,5.4,6.7,"4,097,467"
2022,estratificado,-,-,-,norte ,-,-,-,6,5.1,7,"1,055,550"
2022,estratificado,-,-,-,centro,-,-,-,5.8,4.8,6.9,"1,878,970"
2022,estratificado,-,-,-,cdmx,-,-,-,6.3,4.6,8.6,"595,402"
2022,estratificado,-,-,-,sur,-,-,-,6.7,5.6,7.9,"1,741,248"
2022,estratificado,-,-,-,-,primaria o menos,-,-,7,5.9,8.3,"1,654,702"
2022,estratificado,-,-,-,-,secundaria,-,-,5.6,4.7,6.6,"1,287,310"
2022,estratificado,-,-,-,-,media,-,-,5.3,4.1,6.8,"1,080,053"
2022,estratificado,-,-,-,-,superior,-,-,6.6,5.3,8.2,"1,215,951"
2022,estratificado,-,-,-,-,-,bajo,-,6.6,5.5,7.7,"1,688,579"
2022,estratificado,-,-,-,-,-,medio,-,6.7,5.7,7.9,"1,868,070"
2022,estratificado,-,-,-,-,-,alto,-,5.3,4.5,6.3,"1,693,984"
2022,estratificado,-,-,-,-,-,-,no,4.1,3.3,5.2,"1,087,272"
2022,estratificado,-,-,-,-,-,-,si,7.1,6.3,7.9,"4,182,559"
2022,estratificado,hombre,20-39,-,-,-,-,-,8.7,7.1,10.6,"1,621,897"
2022,estratificado,hombre,40-59,-,-,-,-,-,5.7,4.4,7.4,"834,157"
2022,estratificado,hombre,60+,-,-,-,-,-,5.9,4.4,8,"449,770"
2022,estratificado,mujer,20-39,-,-,-,-,-,4.8,3.6,6.2,"950,249"
2022,estratificado,mujer,40-59,-,-,-,-,-,4.6,3.6,5.8,"702,762"
2022,estratificado,mujer,60+,-,-,-,-,-,7.3,5.9,9,"690,126"
2022,estratificado,hombre,-,rural,-,-,-,-,8.4,6.4,11,"691,820"
2022,estratificado,hombre,-,urbano,-,-,-,-,6.8,5.8,8,"2,221,157"
2022,estratificado,mujer,-,rural,-,-,-,-,5.3,3.3,8.5,"471,756"
2022,estratificado,mujer,-,urbano,-,-,-,-,5.2,4.5,6.1,"1,852,606"
2022,estratificado,hombre,-,-,norte ,-,-,-,7.1,5.8,8.7,"630,266"
2022,estratificado,hombre,-,-,centro,-,-,-,7.3,5.6,9.5,"1,119,458"
2022,estratificado,hombre,-,-,cdmx,-,-,-,5.8,3.6,9.1,"260,691"
2022,estratificado,hombre,-,-,sur,-,-,-,7.4,5.9,9.4,"902,306"
2022,estratificado,mujer,-,-,norte ,-,-,-,4.8,3.8,6.1,"418,344"
2022,estratificado,mujer,-,-,centro,-,-,-,4.4,3.2,6.1,"750,684"
2022,estratificado,mujer,-,-,cdmx,-,-,-,6.9,4.2,10.9,"341,974"
2022,estratificado,mujer,-,-,sur,-,-,-,6,4.7,7.7,"827,727"
2022,estratificado,hombre,-,-,-,primaria o menos,-,-,8.8,6.7,11.4,"955,328"
2022,estratificado,hombre,-,-,-,secundaria,-,-,6.4,5,8.2,"698,411"
2022,estratificado,hombre,-,-,-,media,-,-,5.9,4.4,7.8,"554,941"
2022,estratificado,hombre,-,-,-,superior,-,-,7.3,5.5,9.7,"709,967"
2022,estratificado,mujer,-,-,-,primaria o menos,-,-,5.6,4.5,6.8,"715,825"
2022,estratificado,mujer,-,-,-,secundaria,-,-,4.9,3.8,6.1,"591,675"
2022,estratificado,mujer,-,-,-,media,-,-,4.9,3.2,7.4,"537,656"
2022,estratificado,mujer,-,-,-,superior,-,-,5.8,4.1,8.3,"504,479"
2022,estratificado,hombre,-,-,-,-,bajo,-,7.7,6.2,9.6,"924,991"
2022,estratificado,hombre,-,-,-,-,medio,-,7.9,6.2,10,"1,066,424"
2022,estratificado,hombre,-,-,-,-,alto,-,6,4.6,7.9,"923,287"
2022,estratificado,mujer,-,-,-,-,bajo,-,5.5,4.3,7.1,"746,441"
2022,estratificado,mujer,-,-,-,-,medio,-,5.6,4.3,7.2,"805,425"
2022,estratificado,mujer,-,-,-,-,alto,-,4.7,3.6,6.1,"778,970"
2022,estratificado,hombre,-,-,-,-,-,no,4.9,3.7,6.6,"707,694"
2022,estratificado,hombre,-,-,-,-,-,si,8.3,7.1,9.8,"2,195,956"
2022,estratificado,mujer,-,-,-,-,-,no,3.2,2.2,4.5,"386,435"
2022,estratificado,mujer,-,-,-,-,-,si,6,5.1,7.1,"1,947,120"
2023,nacional,-,-,-,-,-,-,-,7.4,6.3,8.7,"6,350,527"
2023,estratificado,hombre,-,-,-,-,-,-,9.4,7.5,11.7,"3,864,474"
2023,estratificado,mujer,-,-,-,-,-,-,5.6,4.4,7.2,"2,503,564"
2023,estratificado,-,20-39,-,-,-,-,-,7.3,5.6,9.4,"2,871,888"
2023,estratificado,-,40-59,-,-,-,-,-,7.4,5.4,10.2,"2,151,965"
2023,estratificado,-,60+,-,-,-,-,-,7.6,5.7,10.1,"1,322,126"
2023,estratificado,-,-,rural,-,-,-,-,6.5,4.2,9.8,"1,100,718"
2023,estratificado,-,-,urbano,-,-,-,-,7.7,6.4,9.2,"5,304,053"
2023,estratificado,-,-,-,norte ,-,-,-,6.7,4.8,9.3,"1,070,614"
2023,estratificado,-,-,-,centro,-,-,-,7.4,5.7,9.7,"2,886,775"
2023,estratificado,-,-,-,cdmx,-,-,-,6.7,3.4,12.8,"499,104"
2023,estratificado,-,-,-,sur,-,-,-,8.1,6,10.9,"1,893,684"
2023,estratificado,-,-,-,-,primaria o menos,-,-,7.2,5.1,10.3,"1,431,003"
2023,estratificado,-,-,-,-,secundaria,-,-,7.1,5.2,9.5,"1,819,895"
2023,estratificado,-,-,-,-,media,-,-,8,6,10.7,"1,741,498"
2023,estratificado,-,-,-,-,superior,-,-,7.4,5,10.7,"1,372,095"
2023,estratificado,-,-,-,-,-,bajo,-,7.3,5.3,9.9,"1,986,000"
2023,estratificado,-,-,-,-,-,medio,-,6.9,5.4,8.8,"1,774,190"
2023,estratificado,-,-,-,-,-,alto,-,7.9,6.2,10,"2,599,064"
2023,estratificado,-,-,-,-,-,-,no,5.6,4.1,7.6,"1,996,337"
2023,estratificado,-,-,-,-,-,-,si,8.7,7.1,10.6,"4,364,708"
2023,estratificado,hombre,20-39,-,-,-,-,-,11,7.9,15.3,"2,085,116"
2023,estratificado,hombre,40-59,-,-,-,-,-,7.5,5.2,10.8,"986,268"
2023,estratificado,hombre,60+,-,-,-,-,-,8.6,5.6,13.1,"774,480"
2023,estratificado,mujer,20-39,-,-,-,-,-,3.8,2.5,5.9,"774,643"
2023,estratificado,mujer,40-59,-,-,-,-,-,7.4,5,10.6,"1,178,847"
2023,estratificado,mujer,60+,-,-,-,-,-,6.5,4.4,9.7,"545,403"
2023,estratificado,hombre,-,rural,-,-,-,-,8.5,5.1,13.7,"688,909"
2023,estratificado,hombre,-,urbano,-,-,-,-,9.6,7.5,12.3,"3,168,635"
2023,estratificado,mujer,-,rural,-,-,-,-,4.6,2.9,7.3,"406,148"
2023,estratificado,mujer,-,urbano,-,-,-,-,5.8,4.4,7.7,"2,080,877"
2023,estratificado,hombre,-,-,norte ,-,-,-,7.4,4.4,11.9,"561,289"
2023,estratificado,hombre,-,-,centro,-,-,-,10.1,7.4,13.7,"1,885,188"
2023,estratificado,hombre,-,-,cdmx,-,-,-,9.6,4.3,20.1,"333,220"
2023,estratificado,hombre,-,-,sur,-,-,-,9.5,5.7,15.4,"1,082,066"
2023,estratificado,mujer,-,-,norte ,-,-,-,6.1,3.8,9.6,"512,055"
2023,estratificado,mujer,-,-,centro,-,-,-,5,3,8.1,"1,017,262"
2023,estratificado,mujer,-,-,cdmx,-,-,-,4.1,1.9,8.7,"163,109"
2023,estratificado,mujer,-,-,sur,-,-,-,6.8,4.8,9.5,"815,228"
2023,estratificado,hombre,-,-,-,primaria o menos,-,-,9.9,6,15.9,"851,915"
2023,estratificado,hombre,-,-,-,secundaria,-,-,8.6,5.6,13.1,"995,670"
2023,estratificado,hombre,-,-,-,media,-,-,11,7.1,16.7,"1,196,221"
2023,estratificado,hombre,-,-,-,superior,-,-,8.1,4.9,13.2,"814,369"
2023,estratificado,mujer,-,-,-,primaria o menos,-,-,5.2,3.4,7.9,"586,032"
2023,estratificado,mujer,-,-,-,secundaria,-,-,5.8,4,8.5,"815,177"
2023,estratificado,mujer,-,-,-,media,-,-,5,3.1,8.1,"544,700"
2023,estratificado,mujer,-,-,-,superior,-,-,6.4,3.7,11.1,"543,225"
2023,estratificado,hombre,-,-,-,-,bajo,-,10.4,6.9,15.5,"1,305,617"
2023,estratificado,hombre,-,-,-,-,medio,-,8.1,5.7,11.3,"967,431"
2023,estratificado,hombre,-,-,-,-,alto,-,9.5,6.9,13,"1,578,313"
2023,estratificado,mujer,-,-,-,-,bajo,-,4.6,3,6.9,"673,968"
2023,estratificado,mujer,-,-,-,-,medio,-,5.9,4.1,8.6,"812,389"
2023,estratificado,mujer,-,-,-,-,alto,-,6.2,3.9,9.7,"1,009,715"
2023,estratificado,hombre,-,-,-,-,-,no,7.7,5.2,11.2,"1,459,349"
2023,estratificado,hombre,-,-,-,-,-,si,10.8,8.5,13.7,"2,393,155"
2023,estratificado,mujer,-,-,-,-,-,no,3.2,2.1,4.9,"534,281"
2023,estratificado,mujer,-,-,-,-,-,si,7,5.2,9.4,"1,960,715"
