año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_diagnostico_de_hipertension,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipertension
2006,estratificado,-,-,-,-,-,-,si,,,,
2006,estratificado,hombre,20-39,-,-,-,-,-,5.1,4.3,6.0,432000
2006,estratificado,hombre,40-59,-,-,-,-,-,14.8,13.2,16.6,915000
2006,estratificado,hombre,60+,-,-,-,-,-,27.6,25.0,30.3,932000
2006,estratificado,mujer,20-39,-,-,-,-,-,10.0,9.1,11.0,1284000
2006,estratificado,mujer,40-59,-,-,-,-,-,22.6,21.0,24.3,1945000
2006,estratificado,mujer,60+,-,-,-,-,-,40.9,38.3,43.6,1730000
2006,estratificado,hombre,-,rural,-,-,-,-,9.5,8.3,10.9,388000
2006,estratificado,hombre,-,urbano,-,-,-,-,13.5,12.5,14.7,1891000
2006,estratificado,mujer,-,rural,-,-,-,-,16.1,14.9,17.5,951000
2006,estratificado,mujer,-,urbano,-,-,-,-,20.3,19.2,21.4,4007000
2006,estratificado,hombre,-,-,norte ,-,-,-,12.8,11.4,14.2,471000
2006,estratificado,hombre,-,-,centro,-,-,-,13.4,11.7,15.3,886000
2006,estratificado,hombre,-,-,cdmx,-,-,-,16.6,12.9,21.0,336000
2006,estratificado,hombre,-,-,sur,-,-,-,10.2,9.2,11.4,586000
2006,estratificado,mujer,-,-,norte ,-,-,-,20.8,19.3,22.4,1012000
2006,estratificado,mujer,-,-,centro,-,-,-,20.3,18.7,22.0,1977000
2006,estratificado,mujer,-,-,cdmx,-,-,-,24.4,21.4,27.8,674000
2006,estratificado,mujer,-,-,sur,-,-,-,15.6,14.4,16.8,1296000
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,14.6,13.4,15.8,1290000
2006,estratificado,hombre,-,-,-,secundaria,-,-,10.0,8.3,12.1,426000
2006,estratificado,hombre,-,-,-,media,-,-,10.3,8.2,12.7,279000
2006,estratificado,hombre,-,-,-,superior,-,-,12.9,10.4,16.0,280000
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,24.6,23.3,25.8,3534000
2006,estratificado,mujer,-,-,-,secundaria,-,-,13.0,11.5,14.7,686000
2006,estratificado,mujer,-,-,-,media,-,-,12.4,10.5,14.6,485000
2006,estratificado,mujer,-,-,-,superior,-,-,11.9,9.3,15.1,231000
2006,estratificado,hombre,-,-,-,-,bajo,-,9.5,8.3,10.9,460000
2006,estratificado,hombre,-,-,-,-,medio,-,11.6,10.3,13.1,654000
2006,estratificado,hombre,-,-,-,-,alto,-,15.4,13.7,17.3,1160000
2006,estratificado,mujer,-,-,-,-,bajo,-,16.5,15.2,17.9,1178000
2006,estratificado,mujer,-,-,-,-,medio,-,20.8,19.2,22.6,1718000
2006,estratificado,mujer,-,-,-,-,alto,-,20.1,18.6,21.7,2040000
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional ,-,-,-,-,-,-,-,16.8,15.8,17.9,3060000
2012,estratificado,hombre,-,-,-,-,-,-,14.2,12.7,15.8,1116000
2012,estratificado,mujer,-,-,-,-,-,-,18.8,17.4,20.3,1945000
2012,estratificado,-,20-39,-,-,-,-,-,5.6,4.7,6.5,484000
2012,estratificado,-,40-59,-,-,-,-,-,20.8,18.9,22.8,1252000
2012,estratificado,-,60+,-,-,-,-,-,38.1,35.1,41.1,1324000
2012,estratificado,-,-,rural,-,-,-,-,14.9,13.3,16.6,631000
2012,estratificado,-,-,urbano,-,-,-,-,17.4,16.1,18.7,2430000
2012,estratificado,-,-,-,norte ,-,-,-,18.6,16.7,20.6,841000
2012,estratificado,-,-,-,centro,-,-,-,15.8,14.2,17.6,1053000
2012,estratificado,-,-,-,cdmx,-,-,-,23.7,17.9,30.7,324000
2012,estratificado,-,-,-,sur,-,-,-,14.8,13.3,16.5,842000
2012,estratificado,-,-,-,-,primaria o menos,-,-,23.7,22.0,25.5,1967000
2012,estratificado,-,-,-,-,secundaria,-,-,11.4,9.6,13.5,537000
2012,estratificado,-,-,-,-,media,-,-,11.0,8.9,13.5,336000
2012,estratificado,-,-,-,-,superior,-,-,10.1,7.6,13.3,221000
2012,estratificado,-,-,-,-,-,bajo,-,14.1,12.8,15.6,881000
2012,estratificado,-,-,-,-,-,medio,-,18.5,16.6,20.6,1161000
2012,estratificado,-,-,-,-,-,alto,-,17.8,15.8,20.0,1018000
