año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_diagnostico_de_hipertension,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipertension
2021,estratificado,-,-,-,cdmx,-,-,-,21.1,18.9,23.5,1427000
2021,estratificado,-,-,-,sur,-,-,-,15.7,13.7,18.0,3415000
2021,estratificado,-,-,-,-,primaria o menos,-,-,27.1,24.8,29.5,5802000
2021,estratificado,-,-,-,-,secundaria,-,-,16.6,14.6,18.8,3335000
2021,estratificado,-,-,-,-,media,-,-,11.3,9.4,13.6,1824000
2021,estratificado,-,-,-,-,superior,-,-,11.0,9.0,13.4,1563000
2021,estratificado,-,-,-,-,-,bajo,-,16.0,14.4,17.6,3631000
2021,estratificado,-,-,-,-,-,medio,-,18.3,16.6,20.1,4197000
2021,estratificado,-,-,-,-,-,alto,-,18.0,16.1,20.0,4695000
2021,estratificado,-,-,-,-,-,-,no,15.3,14.2,16.4,10010000
2021,estratificado,-,-,-,-,-,-,si,39.6,35.2,44.2,2514000
2021,estratificado,hombre,20-39,-,-,-,-,-,5.6,4.1,7.7,785000
2021,estratificado,hombre,40-59,-,-,-,-,-,15.0,12.3,18.1,1602000
2021,estratificado,hombre,60+,-,-,-,-,-,38.0,34.0,42.2,2812000
2021,estratificado,mujer,20-39,-,-,-,-,-,3.9,2.9,5.2,706000
2021,estratificado,mujer,40-59,-,-,-,-,-,22.7,20.4,25.2,3300000
2021,estratificado,mujer,60+,-,-,-,-,-,46.2,41.6,50.7,3318000
2021,estratificado,hombre,-,rural,-,-,-,-,14.5,11.3,18.4,1056000
2021,estratificado,hombre,-,urbano,-,-,-,-,16.8,15.0,18.8,4143000
2021,estratificado,mujer,-,rural,-,-,-,-,14.3,12.0,17.0,1170000
2021,estratificado,mujer,-,urbano,-,-,-,-,19.4,17.8,21.1,6154000
2021,estratificado,hombre,-,-,norte ,-,-,-,17.8,14.2,22.1,1178000
2021,estratificado,hombre,-,-,centro,-,-,-,16.9,14.3,19.8,2215000
2021,estratificado,hombre,-,-,cdmx,-,-,-,19.0,15.4,23.3,538000
2021,estratificado,hombre,-,-,sur,-,-,-,13.4,10.7,16.7,1268000
2021,estratificado,mujer,-,-,norte ,-,-,-,17.7,14.5,21.4,1363000
2021,estratificado,mujer,-,-,centro,-,-,-,18.4,16.4,20.6,2925000
2021,estratificado,mujer,-,-,cdmx,-,-,-,22.6,19.6,25.9,889000
2021,estratificado,mujer,-,-,sur,-,-,-,17.5,14.8,20.5,2147000
2021,estratificado,hombre,-,-,-,primaria o menos,-,-,22.4,19.2,25.9,2177000
2021,estratificado,hombre,-,-,-,secundaria,-,-,16.2,12.9,20.1,1302000
2021,estratificado,hombre,-,-,-,media,-,-,10.8,7.8,14.7,757000
2021,estratificado,hombre,-,-,-,superior,-,-,13.4,10.4,17.0,962000
2021,estratificado,mujer,-,-,-,primaria o menos,-,-,31.0,27.7,34.6,3625000
2021,estratificado,mujer,-,-,-,secundaria,-,-,16.8,14.6,19.4,2033000
2021,estratificado,mujer,-,-,-,media,-,-,11.7,9.5,14.5,1066000
2021,estratificado,mujer,-,-,-,superior,-,-,8.6,6.3,11.6,601000
2021,estratificado,hombre,-,-,-,-,bajo,-,14.2,11.8,17.0,1468000
2021,estratificado,hombre,-,-,-,-,medio,-,16.5,13.9,19.5,1639000
2021,estratificado,hombre,-,-,-,-,alto,-,17.8,15.1,21.0,2091000
2021,estratificado,mujer,-,-,-,-,bajo,-,17.4,15.4,19.6,2163000
2021,estratificado,mujer,-,-,-,-,medio,-,19.6,17.6,21.9,2558000
2021,estratificado,mujer,-,-,-,-,alto,-,18.1,15.7,20.8,2604000
2021,estratificado,hombre,-,-,-,-,-,no,14.5,12.8,16.3,4266000
2021,estratificado,hombre,-,-,-,-,-,si,37.1,29.0,46.1,933000
2021,estratificado,mujer,-,-,-,-,-,no,15.9,14.6,17.4,5744000
2021,estratificado,mujer,-,-,-,-,-,si,41.2,36.0,46.5,1581000
2022,nacional ,-,-,-,-,-,-,-,16.4,15.3,17.6,13869000
2022,estratificado,hombre,-,-,-,-,-,-,14.8,13.2,16.5,5868000
2022,estratificado,mujer,-,-,-,-,-,-,17.8,16.4,19.3,8001000
2022,estratificado,-,20-39,-,-,-,-,-,4.7,3.8,5.8,1774000
2022,estratificado,-,40-59,-,-,-,-,-,17.1,15.4,18.9,4994000
2022,estratificado,-,60+,-,-,-,-,-,40.4,37.5,43.3,7101000
2022,estratificado,-,-,rural,-,-,-,-,15.9,13.7,18.3,2749000
2022,estratificado,-,-,urbano,-,-,-,-,16.5,15.2,17.9,11120000
2022,estratificado,-,-,-,norte ,-,-,-,18.7,16.8,20.8,3287000
2022,estratificado,-,-,-,centro,-,-,-,17.5,15.5,19.6,5612000
2022,estratificado,-,-,-,cdmx,-,-,-,16.8,14.2,19.8,1577000
2022,estratificado,-,-,-,sur,-,-,-,13.3,11.1,15.8,3392000
2022,estratificado,-,-,-,-,primaria o menos,-,-,27.3,25.0,29.7,6592000
2022,estratificado,-,-,-,-,secundaria,-,-,14.5,12.7,16.6,3369000
2022,estratificado,-,-,-,-,media,-,-,12.8,10.7,15.3,2613000
2022,estratificado,-,-,-,-,superior,-,-,7.7,6.2,9.5,1294000
2022,estratificado,-,-,-,-,-,bajo,-,15.3,13.7,17.0,4016000
2022,estratificado,-,-,-,-,-,medio,-,17.5,15.6,19.5,4769000
2022,estratificado,-,-,-,-,-,alto,-,16.4,14.7,18.2,5084000
2022,estratificado,-,-,-,-,-,-,no,14.0,12.9,15.1,10565000
2022,estratificado,-,-,-,-,-,-,si,36.7,32.7,41.0,3303000
2022,estratificado,hombre,20-39,-,-,-,-,-,5.1,3.5,7.3,906000
2022,estratificado,hombre,40-59,-,-,-,-,-,15.5,12.9,18.5,2128000
2022,estratificado,hombre,60+,-,-,-,-,-,35.2,31.0,39.7,2833000
2022,estratificado,mujer,20-39,-,-,-,-,-,4.4,3.4,5.6,868000
2022,estratificado,mujer,40-59,-,-,-,-,-,18.5,16.2,21.0,2865000
2022,estratificado,mujer,60+,-,-,-,-,-,44.7,40.6,48.9,4268000
2022,estratificado,hombre,-,rural,-,-,-,-,13.9,10.5,18.1,1136000
2022,estratificado,hombre,-,urbano,-,-,-,-,15.0,13.3,17.0,4732000
2022,estratificado,mujer,-,rural,-,-,-,-,17.7,15.5,20.1,1613000
2022,estratificado,mujer,-,urbano,-,-,-,-,17.9,16.2,19.7,6388000
2022,estratificado,hombre,-,-,norte ,-,-,-,15.5,13.0,18.4,1367000
2022,estratificado,hombre,-,-,centro,-,-,-,16.3,13.4,19.7,2430000
2022,estratificado,hombre,-,-,cdmx,-,-,-,15.3,11.7,19.7,658000
2022,estratificado,hombre,-,-,sur,-,-,-,12.2,9.4,15.6,1413000
2022,estratificado,mujer,-,-,norte ,-,-,-,22.0,19.5,24.8,1920000
2022,estratificado,mujer,-,-,centro,-,-,-,18.5,16.1,21.1,3183000
2022,estratificado,mujer,-,-,cdmx,-,-,-,18.2,14.4,22.6,919000
2022,estratificado,mujer,-,-,sur,-,-,-,14.2,11.6,17.3,1979000
2022,estratificado,hombre,-,-,-,primaria o menos,-,-,22.9,19.3,26.9,2471000
2022,estratificado,hombre,-,-,-,secundaria,-,-,14.2,11.2,17.9,1487000
2022,estratificado,hombre,-,-,-,media,-,-,12.8,9.8,16.4,1206000
2022,estratificado,hombre,-,-,-,superior,-,-,7.9,5.8,10.7,703000
2022,estratificado,mujer,-,-,-,primaria o menos,-,-,30.8,27.8,34.0,4121000
2022,estratificado,mujer,-,-,-,secundaria,-,-,14.8,12.6,17.3,1882000
2022,estratificado,mujer,-,-,-,media,-,-,12.8,10.2,16.0,1407000
2022,estratificado,mujer,-,-,-,superior,-,-,7.5,5.8,9.7,591000
2022,estratificado,hombre,-,-,-,-,bajo,-,13.3,10.8,16.3,1613000
2022,estratificado,hombre,-,-,-,-,medio,-,15.3,12.5,18.5,1993000
2022,estratificado,hombre,-,-,-,-,alto,-,15.6,13.1,18.5,2262000
2022,estratificado,mujer,-,-,-,-,bajo,-,17.0,14.9,19.2,2403000
2022,estratificado,mujer,-,-,-,-,medio,-,19.6,17.4,21.9,2776000
2022,estratificado,mujer,-,-,-,-,alto,-,17.1,14.8,19.5,2822000
2022,estratificado,hombre,-,-,-,-,-,no,12.8,11.2,14.5,4618000
2022,estratificado,hombre,-,-,-,-,-,si,35.6,28.4,43.6,1250000
2022,estratificado,mujer,-,-,-,-,-,no,15.1,13.8,16.5,5947000
2022,estratificado,mujer,-,-,-,-,-,si,37.5,33.0,42.1,2054000
2023,nacional ,-,-,-,-,-,-,-,19.6,17.0,22.5,10033000
2023,estratificado,hombre,-,-,-,-,-,-,19.4,16.0,23.4,4796000
2023,estratificado,mujer,-,-,-,-,-,-,19.7,16.9,22.9,5237000
2023,estratificado,-,20-39,-,-,-,-,-,5.1,3.4,7.7,1170000
2023,estratificado,-,40-59,-,-,-,-,-,24.1,19.7,29.2,4115000
2023,estratificado,-,60+,-,-,-,-,-,41.8,34.8,49.2,4748000
2023,estratificado,-,-,rural,-,-,-,-,21.7,17.6,26.5,2130000
2023,estratificado,-,-,urbano,-,-,-,-,19.1,16.0,22.6,7903000
2023,estratificado,-,-,-,norte ,-,-,-,,,,
2023,estratificado,-,-,-,centro,-,-,-,,,,
2023,estratificado,-,-,-,cdmx,-,-,-,,,,
2023,estratificado,-,-,-,sur,-,-,-,,,,
2023,estratificado,-,-,-,-,primaria o menos,-,-,30.6,24.2,37.7,3544000
2023,estratificado,-,-,-,-,secundaria,-,-,19.5,15.5,24.2,3108000
2023,estratificado,-,-,-,-,media,-,-,11.6,8.4,15.7,1540000
2023,estratificado,-,-,-,-,superior,-,-,17.8,12.3,25.0,1841000
2023,estratificado,-,-,-,-,-,bajo,-,18.3,14.3,23.1,2948000
2023,estratificado,-,-,-,-,-,medio,-,22.2,18.6,26.4,3299000
2023,estratificado,-,-,-,-,-,alto,-,18.7,14.2,24.1,3787000
2023,estratificado,-,-,-,-,-,-,no,15.5,13.4,17.8,6571000
2023,estratificado,-,-,-,-,-,-,si,40.2,27.0,55.1,1194000
2023,estratificado,hombre,20-39,-,-,-,-,-,,,,
2023,estratificado,hombre,40-59,-,-,-,-,-,22.4,16.5,29.7,1776000
2023,estratificado,hombre,60+,-,-,-,-,-,39.8,30.0,50.5,2367000
2023,estratificado,mujer,20-39,-,-,-,-,-,,,,
2023,estratificado,mujer,40-59,-,-,-,-,-,25.6,20.3,31.6,2339000
2023,estratificado,mujer,60+,-,-,-,-,-,44.1,35.5,53.0,2382000
2023,estratificado,hombre,-,rural,-,-,-,-,21.0,16.5,26.3,1014000
2023,estratificado,hombre,-,urbano,-,-,-,-,19.0,15.0,23.9,3782000
2023,estratificado,mujer,-,rural,-,-,-,-,22.3,17.1,28.7,1117000
2023,estratificado,mujer,-,urbano,-,-,-,-,19.1,16.0,22.7,4121000
2023,estratificado,hombre,-,-,norte ,-,-,-,,,,
2023,estratificado,hombre,-,-,centro,-,-,-,,,,
2023,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2023,estratificado,hombre,-,-,sur,-,-,-,,,,
2023,estratificado,mujer,-,-,norte ,-,-,-,,,,
2023,estratificado,mujer,-,-,centro,-,-,-,,,,
2023,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2023,estratificado,mujer,-,-,sur,-,-,-,,,,
2023,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2023,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2023,estratificado,hombre,-,-,-,media,-,-,,,,
2023,estratificado,hombre,-,-,-,superior,-,-,,,,
2023,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2023,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2023,estratificado,mujer,-,-,-,media,-,-,,,,
2023,estratificado,mujer,-,-,-,superior,-,-,,,,
2023,estratificado,hombre,-,-,-,-,bajo,-,15.8,11.2,21.8,1145000
2023,estratificado,hombre,-,-,-,-,medio,-,25.7,19.8,32.8,1751000
2023,estratificado,hombre,-,-,-,-,alto,-,17.9,11.9,26.0,1900000
2023,estratificado,mujer,-,-,-,-,bajo,-,20.3,15.6,26.0,1803000
2023,estratificado,mujer,-,-,-,-,medio,-,19.3,15.0,24.4,1548000
2023,estratificado,mujer,-,-,-,-,alto,-,19.5,15.4,24.5,1887000
2023,estratificado,hombre,-,-,-,-,-,no,,,,
2023,estratificado,hombre,-,-,-,-,-,si,,,,
2023,estratificado,mujer,-,-,-,-,-,no,,,,
2023,estratificado,mujer,-,-,-,-,-,si,,,,
