año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_sobrepeso,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_sobrepeso
2006,estratificado,-,-,-,-,primaria o menos,-,-,39.5,38.4,40.6," 9,075,000 "
2006,estratificado,-,-,-,-,secundaria,-,-,39.6,38.0,41.2," 3,748,000 "
2006,estratificado,-,-,-,-,media,-,-,39.8,37.6,41.9," 2,623,000 "
2006,estratificado,-,-,-,-,superior,-,-,39.7,36.4,43.1," 1,623,000 "
2006,estratificado,-,-,-,-,-,bajo,-,38.8,37.5,40.2," 4,608,000 "
2006,estratificado,-,-,-,-,-,medio,-,40.5,39.1,41.9," 5,560,000 "
2006,estratificado,-,-,-,-,-,alto,-,39.4,38.0,40.8," 6,900,000 "
2006,estratificado,-,-,-,-,-,-,no,,,,
2006,estratificado,-,-,-,-,-,-,si,,,,
2006,estratificado,hombre,20-39,-,-,-,-,-,40.7,38.7,42.7," 3,427,000 "
2006,estratificado,hombre,40-59,-,-,-,-,-,46.1,43.7,48.4," 2,820,000 "
2006,estratificado,hombre,60+,-,-,-,-,-,44.3,41.5,47.2," 1,478,000 "
2006,estratificado,mujer,20-39,-,-,-,-,-,36.6,35.0,38.2," 4,657,000 "
2006,estratificado,mujer,40-59,-,-,-,-,-,38.2,36.3,40.1," 3,263,000 "
2006,estratificado,mujer,60+,-,-,-,-,-,36.2,33.7,38.8," 1,506,000 "
2006,estratificado,hombre,-,rural,-,-,-,-,42.0,39.9,44.2," 1,701,000 "
2006,estratificado,hombre,-,urbano,-,-,-,-,43.6,42.0,45.1," 6,025,000 "
2006,estratificado,mujer,-,rural,-,-,-,-,37.4,35.6,39.3," 2,188,000 "
2006,estratificado,mujer,-,urbano,-,-,-,-,36.9,35.6,38.3," 7,238,000 "
2006,estratificado,hombre,-,-,norte ,-,-,-,42.2,40.2,44.2," 1,550,000 "
2006,estratificado,hombre,-,-,centro,-,-,-,43.4,41.2,45.7," 2,837,000 "
2006,estratificado,hombre,-,-,cdmx,-,-,-,45.1,39.1,51.2," 903,000 "
2006,estratificado,hombre,-,-,sur,-,-,-,42.9,41.0,44.8," 2,436,000 "
2006,estratificado,mujer,-,-,norte ,-,-,-,33.3,31.6,35.0," 1,600,000 "
2006,estratificado,mujer,-,-,centro,-,-,-,37.9,36.0,39.9," 3,666,000 "
2006,estratificado,mujer,-,-,cdmx,-,-,-,40.0,34.1,46.2," 1,097,000 "
2006,estratificado,mujer,-,-,sur,-,-,-,37.2,35.7,38.8," 3,063,000 "
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,43.1,41.5,44.8," 3,772,000 "
2006,estratificado,hombre,-,-,-,secundaria,-,-,42.9,40.3,45.5," 1,805,000 "
2006,estratificado,hombre,-,-,-,media,-,-,42.7,38.8,46.7," 1,155,000 "
2006,estratificado,hombre,-,-,-,superior,-,-,44.8,40.3,49.4," 965,000 "
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,37.3,35.9,38.6," 5,303,000 "
2006,estratificado,mujer,-,-,-,secundaria,-,-,37.0,34.9,39.2," 1,942,000 "
2006,estratificado,mujer,-,-,-,media,-,-,37.7,34.9,40.6," 1,467,000 "
2006,estratificado,mujer,-,-,-,superior,-,-,34.1,29.7,38.7," 658,000 "
2006,estratificado,hombre,-,-,-,-,bajo,-,41.0,39.1,43.0," 1,964,000 "
2006,estratificado,hombre,-,-,-,-,medio,-,43.4,41.2,45.5," 2,409,000 "
2006,estratificado,hombre,-,-,-,-,alto,-,44.5,42.2,46.8," 3,325,000 "
2006,estratificado,mujer,-,-,-,-,bajo,-,37.4,35.5,39.3," 2,644,000 "
2006,estratificado,mujer,-,-,-,-,medio,-,38.6,36.8,40.5," 3,151,000 "
2006,estratificado,mujer,-,-,-,-,alto,-,35.5,33.8,37.3," 3,575,000 "
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional ,-,-,-,-,-,-,-,38.2,37.4,39.0," 19,412,000 "
2012,estratificado,hombre,-,-,-,-,-,-,41.6,40.3,42.9," 9,448,000 "
2012,estratificado,mujer,-,-,-,-,-,-,35.5,34.5,36.5," 9,964,000 "
2012,estratificado,-,20-39,-,-,-,-,-,36.2,35.1,37.4," 9,062,000 "
2012,estratificado,-,40-59,-,-,-,-,-,40.4,39.1,41.8," 6,995,000 "
2012,estratificado,-,60+,-,-,-,-,-,39.6,37.8,41.4," 3,354,000 "
2012,estratificado,-,-,rural,-,-,-,-,39.4,38.2,40.5," 5,013,000 "
2012,estratificado,-,-,urbano,-,-,-,-,37.8,36.9,38.8," 14,399,000 "
2012,estratificado,-,-,-,norte ,-,-,-,35.7,34.2,37.1," 4,476,000 "
2012,estratificado,-,-,-,centro,-,-,-,38.3,36.9,39.7," 6,803,000 "
2012,estratificado,-,-,-,cdmx,-,-,-,37.0,29.6,44.9," 553,000 "
2012,estratificado,-,-,-,sur,-,-,-,40.0,38.8,41.2," 7,579,000 "
2012,estratificado,-,-,-,-,primaria o menos,-,-,37.9,36.9,39.0," 8,338,000 "
2012,estratificado,-,-,-,-,secundaria,-,-,38.3,36.7,40.1," 5,147,000 "
2012,estratificado,-,-,-,-,media,-,-,39.4,37.5,41.3," 3,553,000 "
2012,estratificado,-,-,-,-,superior,-,-,37.4,34.9,40.0," 2,374,000 "
2012,estratificado,-,-,-,-,-,bajo,-,38.0,36.9,39.2," 6,698,000 "
2012,estratificado,-,-,-,-,-,medio,-,37.9,36.6,39.2," 6,692,000 "
2012,estratificado,-,-,-,-,-,alto,-,38.8,37.3,40.4," 6,021,000 "
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-39,-,-,-,-,-,37.0,35.2,38.9," 4,007,000 "
2012,estratificado,hombre,40-59,-,-,-,-,-,46.2,44.1,48.3," 3,694,000 "
2012,estratificado,hombre,60+,-,-,-,-,-,45.1,42.3,47.9," 1,747,000 "
2012,estratificado,mujer,20-39,-,-,-,-,-,35.7,34.3,37.1," 5,055,000 "
2012,estratificado,mujer,40-59,-,-,-,-,-,35.4,33.8,37.1," 3,301,000 "
2012,estratificado,mujer,60+,-,-,-,-,-,34.9,32.6,37.3," 1,607,000 "
2012,estratificado,hombre,-,rural,-,-,-,-,41.1,39.3,42.9," 2,409,000 "
2012,estratificado,hombre,-,urbano,-,-,-,-,41.8,40.2,43.5," 7,039,000 "
2012,estratificado,mujer,-,rural,-,-,-,-,37.9,36.3,39.5," 2,604,000 "
2012,estratificado,mujer,-,urbano,-,-,-,-,34.7,33.5,35.9," 7,360,000 "
2012,estratificado,hombre,-,-,norte ,-,-,-,40.4,38.2,42.6," 2,395,000 "
2012,estratificado,hombre,-,-,centro,-,-,-,42.8,40.5,45.1," 3,360,000 "
2012,estratificado,hombre,-,-,cdmx,-,-,-,43.2,29.0,58.6," 271,000 "
2012,estratificado,hombre,-,-,sur,-,-,-,41.3,39.3,43.4," 3,422,000 "
2012,estratificado,mujer,-,-,norte ,-,-,-,31.5,29.6,33.3," 2,082,000 "
2012,estratificado,mujer,-,-,centro,-,-,-,34.7,33.0,36.5," 3,443,000 "
2012,estratificado,mujer,-,-,cdmx,-,-,-,32.5,25.9,39.8," 282,000 "
2012,estratificado,mujer,-,-,sur,-,-,-,38.9,37.4,40.5," 4,157,000 "
2012,estratificado,hombre,-,-,-,primaria o menos,-,-,41.9,40.1,43.7," 3,939,000 "
2012,estratificado,hombre,-,-,-,secundaria,-,-,40.1,37.6,42.8," 2,448,000 "
2012,estratificado,hombre,-,-,-,media,-,-,41.5,38.4,44.7," 1,651,000 "
2012,estratificado,hombre,-,-,-,superior,-,-,43.8,40.2,47.5," 1,410,000 "
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,34.9,33.7,36.2," 4,399,000 "
2012,estratificado,mujer,-,-,-,secundaria,-,-,36.8,34.8,38.9," 2,699,000 "
2012,estratificado,mujer,-,-,-,media,-,-,37.7,35.1,40.4," 1,902,000 "
2012,estratificado,mujer,-,-,-,superior,-,-,30.9,27.6,34.3," 963,000 "
2012,estratificado,hombre,-,-,-,-,bajo,-,39.7,37.9,41.6," 3,136,000 "
2012,estratificado,hombre,-,-,-,-,medio,-,41.0,38.9,43.0," 3,217,000 "
2012,estratificado,hombre,-,-,-,-,alto,-,44.5,42.0,47.1," 3,096,000 "
2012,estratificado,mujer,-,-,-,-,bajo,-,36.7,35.2,38.2," 3,563,000 "
2012,estratificado,mujer,-,-,-,-,medio,-,35.4,33.8,37.0," 3,476,000 "
2012,estratificado,mujer,-,-,-,-,alto,-,34.2,32.3,36.2," 2,925,000 "
2012,estratificado,hombre,-,-,-,-,-,no,,,,
2012,estratificado,hombre,-,-,-,-,-,si,,,,
2012,estratificado,mujer,-,-,-,-,-,no,,,,
2012,estratificado,mujer,-,-,-,-,-,si,,,,
2016,nacional ,-,-,-,-,-,-,-,39.2,36.8,41.6," 27,010,000 "
2016,estratificado,hombre,-,-,-,-,-,-,41.6,37.9,45.4," 13,804,000 "
2016,estratificado,mujer,-,-,-,-,-,-,37.0,34.6,39.4," 13,206,000 "
2016,estratificado,-,20-39,-,-,-,-,-,38.3,34.6,42.2," 13,319,000 "
2016,estratificado,-,40-59,-,-,-,-,-,39.8,36.4,43.4," 8,932,000 "
2016,estratificado,-,60+,-,-,-,-,-,40.5,36.9,44.2," 4,759,000 "
2016,estratificado,-,-,rural,-,-,-,-,42.6,40.0,45.2," 6,695,000 "
2016,estratificado,-,-,urbano,-,-,-,-,38.2,35.2,41.2," 20,315,000 "
2016,estratificado,-,-,-,norte ,-,-,-,36.1,29.8,42.9," 5,202,000 "
2016,estratificado,-,-,-,centro,-,-,-,41.6,37.3,46.0," 9,488,000 "
2016,estratificado,-,-,-,cdmx,-,-,-,40.1,35.7,44.6," 4,854,000 "
2016,estratificado,-,-,-,sur,-,-,-,38.1,34.2,42.2," 7,467,000 "
2016,estratificado,-,-,-,-,primaria o menos,-,-,40.6,37.5,43.7," 9,631,000 "
2016,estratificado,-,-,-,-,secundaria,-,-,37.1,33.9,40.4," 7,593,000 "
2016,estratificado,-,-,-,-,media,-,-,39.3,33.8,45.1," 5,306,000 "
2016,estratificado,-,-,-,-,superior,-,-,40.0,32.4,48.2," 4,481,000 "
2016,estratificado,-,-,-,-,-,bajo,-,38.2,34.7,41.8," 5,494,000 "
2016,estratificado,-,-,-,-,-,medio,-,42.0,38.3,45.9," 8,682,000 "
2016,estratificado,-,-,-,-,-,alto,-,37.9,34.0,41.9," 12,835,000 "
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,41.3,35.2,47.6," 7,120,000 "
2016,estratificado,hombre,40-59,-,-,-,-,-,41.8,36.4,47.3," 4,290,000 "
2016,estratificado,hombre,60+,-,-,-,-,-,42.3,37.1,47.6," 2,395,000 "
2016,estratificado,mujer,20-39,-,-,-,-,-,35.4,32.3,38.7," 6,200,000 "
2016,estratificado,mujer,40-59,-,-,-,-,-,38.2,33.9,42.7," 4,642,000 "
2016,estratificado,mujer,60+,-,-,-,-,-,38.8,32.6,45.5," 2,365,000 "
2016,estratificado,hombre,-,rural,-,-,-,-,46.2,41.1,51.4," 3,594,000 "
2016,estratificado,hombre,-,urbano,-,-,-,-,40.2,35.7,44.9," 10,211,000 "
2016,estratificado,mujer,-,rural,-,-,-,-,39.1,35.9,42.4," 3,101,000 "
2016,estratificado,mujer,-,urbano,-,-,-,-,36.4,33.4,39.4," 10,105,000 "
2016,estratificado,hombre,-,-,norte ,-,-,-,38.1,29.5,47.4," 2,709,000 "
2016,estratificado,hombre,-,-,centro,-,-,-,46.4,39.6,53.3," 5,074,000 "
2016,estratificado,hombre,-,-,cdmx,-,-,-,41.4,34.1,49.1," 2,345,000 "
2016,estratificado,hombre,-,-,sur,-,-,-,38.7,32.3,45.6," 3,676,000 "
2016,estratificado,mujer,-,-,norte ,-,-,-,34.1,28.7,40.0," 2,494,000 "
2016,estratificado,mujer,-,-,centro,-,-,-,37.2,33.2,41.3," 4,413,000 "
2016,estratificado,mujer,-,-,cdmx,-,-,-,38.9,33.1,45.1," 2,508,000 "
2016,estratificado,mujer,-,-,sur,-,-,-,37.5,33.2,42.1," 3,791,000 "
2016,estratificado,hombre,-,-,-,primaria o menos,-,-,41.3,37.1,45.7," 4,587,000 "
2016,estratificado,hombre,-,-,-,secundaria,-,-,40.8,35.2,46.6," 3,816,000 "
2016,estratificado,hombre,-,-,-,media,-,-,44.8,35.7,54.3," 3,077,000 "
2016,estratificado,hombre,-,-,-,superior,-,-,39.6,28.9,51.4," 2,324,000 "
2016,estratificado,mujer,-,-,-,primaria o menos,-,-,39.9,35.5,44.5," 5,044,000 "
2016,estratificado,mujer,-,-,-,secundaria,-,-,33.9,30.0,38.0," 3,776,000 "
2016,estratificado,mujer,-,-,-,media,-,-,33.6,28.6,39.0," 2,228,000 "
2016,estratificado,mujer,-,-,-,superior,-,-,40.6,32.5,49.2," 2,158,000 "
2016,estratificado,hombre,-,-,-,-,bajo,-,39.1,33.5,44.9," 2,752,000 "
2016,estratificado,hombre,-,-,-,-,medio,-,47.8,41.8,53.9," 4,677,000 "
2016,estratificado,hombre,-,-,-,-,alto,-,39.0,32.5,45.9," 6,376,000 "
2016,estratificado,mujer,-,-,-,-,bajo,-,37.3,33.1,41.8," 2,742,000 "
2016,estratificado,mujer,-,-,-,-,medio,-,36.9,32.2,41.8," 4,005,000 "
2016,estratificado,mujer,-,-,-,-,alto,-,36.9,33.2,40.6," 6,459,000 "
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional ,-,-,-,-,-,-,-,39.1,37.8,40.4," 30,599,000 "
2018,estratificado,hombre,-,-,-,-,-,-,42.5,40.7,44.5," 13,971,000 "
2018,estratificado,mujer,-,-,-,-,-,-,36.6,34.9,38.4," 16,628,000 "
2018,estratificado,-,20-39,-,-,-,-,-,37.7,35.8,39.6," 11,954,000 "
