año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_obesidad,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_obesidad
2006,estratificado,-,-,-,-,primaria o menos,-,-,32.3,31.2,33.3," 7,410,000 "
2006,estratificado,-,-,-,-,secundaria,-,-,28.9,27.4,30.5," 2,737,000 "
2006,estratificado,-,-,-,-,media,-,-,26.3,24.4,28.2," 1,733,000 "
2006,estratificado,-,-,-,-,superior,-,-,24.7,22.1,27.5," 1,009,000 "
2006,estratificado,-,-,-,-,-,bajo,-,23.9,22.5,25.2," 2,830,000 "
2006,estratificado,-,-,-,-,-,medio,-,32.1,30.8,33.3," 4,397,000 "
2006,estratificado,-,-,-,-,-,alto,-,32.3,30.9,33.7," 5,661,000 "
2006,estratificado,-,-,-,-,-,-,no,,,, -   
2006,estratificado,-,-,-,-,-,-,si,,,, -   
2006,estratificado,hombre,20-39,-,-,-,-,-,21.1,19.5,22.7," 1,774,000 "
2006,estratificado,hombre,40-59,-,-,-,-,-,29.1,27.2,31.2," 1,783,000 "
2006,estratificado,hombre,60+,-,-,-,-,-,19.3,17.3,21.5," 644,000 "
2006,estratificado,mujer,20-39,-,-,-,-,-,27.6,26.3,29.0," 3,521,000 "
2006,estratificado,mujer,40-59,-,-,-,-,-,43.8,41.9,45.7," 3,739,000 "
2006,estratificado,mujer,60+,-,-,-,-,-,35.6,33.1,38.2," 1,482,000 "
2006,estratificado,hombre,-,rural,-,-,-,-,17.4,15.5,19.5," 705,000 "
2006,estratificado,hombre,-,urbano,-,-,-,-,25.3,24.0,26.6," 3,496,000 "
2006,estratificado,mujer,-,rural,-,-,-,-,30.0,27.9,32.2," 1,753,000 "
2006,estratificado,mujer,-,urbano,-,-,-,-,35.7,34.4,36.9," 6,989,000 "
2006,estratificado,hombre,-,-,norte ,-,-,-,25.9,24.0,27.8," 950,000 "
2006,estratificado,hombre,-,-,centro,-,-,-,23.3,21.6,25.2," 1,524,000 "
2006,estratificado,hombre,-,-,cdmx,-,-,-,24.7,20.2,29.9," 495,000 "
2006,estratificado,hombre,-,-,sur,-,-,-,21.7,20.1,23.4," 1,232,000 "
2006,estratificado,mujer,-,-,norte ,-,-,-,41.5,39.5,43.5," 1,994,000 "
2006,estratificado,mujer,-,-,centro,-,-,-,34.1,32.3,35.9," 3,297,000 "
2006,estratificado,mujer,-,-,cdmx,-,-,-,32.6,27.8,37.8," 894,000 "
2006,estratificado,mujer,-,-,sur,-,-,-,31.1,29.4,32.8," 2,557,000 "
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,22.5,21.1,24.0," 1,969,000 "
2006,estratificado,hombre,-,-,-,secundaria,-,-,24.2,22.0,26.6," 1,021,000 "
2006,estratificado,hombre,-,-,-,media,-,-,22.8,20.2,25.6," 617,000 "
2006,estratificado,hombre,-,-,-,superior,-,-,27.0,23.5,30.8," 582,000 "
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,38.2,36.8,39.7," 5,441,000 "
2006,estratificado,mujer,-,-,-,secundaria,-,-,32.7,30.6,34.9," 1,716,000 "
2006,estratificado,mujer,-,-,-,media,-,-,28.7,26.1,31.4," 1,116,000 "
2006,estratificado,mujer,-,-,-,superior,-,-,22.1,18.8,25.8," 427,000 "
2006,estratificado,hombre,-,-,-,-,bajo,-,16.5,14.9,18.3," 792,000 "
2006,estratificado,hombre,-,-,-,-,medio,-,24.9,23.1,26.7," 1,382,000 "
2006,estratificado,hombre,-,-,-,-,alto,-,27.0,25.1,29.0," 2,015,000 "
2006,estratificado,mujer,-,-,-,-,bajo,-,28.8,27.1,30.5," 2,038,000 "
2006,estratificado,mujer,-,-,-,-,medio,-,36.9,35.3,38.6," 3,015,000 "
2006,estratificado,mujer,-,-,-,-,alto,-,36.2,34.3,38.2," 3,646,000 "
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional ,-,-,-,-,-,-,-,33.4,32.6,34.2," 16,951,000 "
2012,estratificado,hombre,-,-,-,-,-,-,27.5,26.3,28.6," 6,233,000 "
2012,estratificado,mujer,-,-,-,-,-,-,38.2,37.1,39.2," 10,718,000 "
2012,estratificado,-,20-39,-,-,-,-,-,28.8,27.8,29.9," 7,214,000 "
2012,estratificado,-,40-59,-,-,-,-,-,41.3,40.0,42.7," 7,146,000 "
2012,estratificado,-,60+,-,-,-,-,-,30.6,28.9,32.3," 2,591,000 "
2012,estratificado,-,-,rural,-,-,-,-,27.4,26.2,28.6," 3,489,000 "
2012,estratificado,-,-,urbano,-,-,-,-,35.4,34.4,36.4," 13,461,000 "
2012,estratificado,-,-,-,norte ,-,-,-,37.5,36.1,39.0," 4,708,000 "
2012,estratificado,-,-,-,centro,-,-,-,32.0,30.6,33.3," 5,680,000 "
2012,estratificado,-,-,-,cdmx,-,-,-,35.8,27.4,45.3," 536,000 "
2012,estratificado,-,-,-,sur,-,-,-,31.8,30.5,33.0," 6,026,000 "
2012,estratificado,-,-,-,-,primaria o menos,-,-,34.8,33.7,36," 7,664,000 "
2012,estratificado,-,-,-,-,secundaria,-,-,33.6,32.1,35.2," 4,513,000 "
2012,estratificado,-,-,-,-,media,-,-,31.1,29.3,32.9," 2,804,000 "
2012,estratificado,-,-,-,-,superior,-,-,31.1,28.6,33.6," 1,970,000 "
2012,estratificado,-,-,-,-,-,bajo,-,29.2,28.0,30.3," 5,134,000 "
2012,estratificado,-,-,-,-,-,medio,-,35.5,34.2,36.8," 6,273,000 "
2012,estratificado,-,-,-,-,-,alto,-,35.8,34.2,37.4," 5,543,000 "
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-39,-,-,-,-,-,25.6,23.9,27.3," 2,771,000 "
2012,estratificado,hombre,40-59,-,-,-,-,-,32.7,30.7,34.8," 2,613,000 "
2012,estratificado,hombre,60+,-,-,-,-,-,21.9,19.7,24.4," 849,000 "
2012,estratificado,mujer,20-39,-,-,-,-,-,31.3,30.0,32.7," 4,443,000 "
2012,estratificado,mujer,40-59,-,-,-,-,-,48.7,46.9,50.4," 4,533,000 "
2012,estratificado,mujer,60+,-,-,-,-,-,37.9,35.5,40.3," 1,741,000 "
2012,estratificado,hombre,-,rural,-,-,-,-,20.5,19.0,22.0," 1,201,000 "
2012,estratificado,hombre,-,urbano,-,-,-,-,29.9,28.4,31.4," 5,032,000 "
2012,estratificado,mujer,-,rural,-,-,-,-,33.3,31.6,35.0," 2,288,000 "
2012,estratificado,mujer,-,urbano,-,-,-,-,39.7,38.5,41.0," 8,429,000 "
2012,estratificado,hombre,-,-,norte ,-,-,-,31.4,29.3,33.6," 1,864,000 "
2012,estratificado,hombre,-,-,centro,-,-,-,25.1,23.2,27.0," 1,969,000 "
2012,estratificado,hombre,-,-,cdmx,-,-,-,28.4,16.0,45.3," 178,000 "
2012,estratificado,hombre,-,-,sur,-,-,-,26.8,25.1,28.7," 2,221,000 "
2012,estratificado,mujer,-,-,norte ,-,-,-,43.0,41.0,45.0," 2,844,000 "
2012,estratificado,mujer,-,-,centro,-,-,-,37.4,35.5,39.4," 3,711,000 "
2012,estratificado,mujer,-,-,cdmx,-,-,-,41.2,34.4,48.3," 358,000 "
2012,estratificado,mujer,-,-,sur,-,-,-,35.6,34.0,37.2," 3,804,000 "
2012,estratificado,hombre,-,-,-,primaria o menos,-,-,24.8,23.3,26.4," 2,330,000 "
2012,estratificado,hombre,-,-,-,secundaria,-,-,28.0,25.7,30.3," 1,705,000 "
2012,estratificado,hombre,-,-,-,media,-,-,29.5,26.7,32.4," 1,171,000 "
2012,estratificado,hombre,-,-,-,superior,-,-,31.9,28.5,35.4," 1,027,000 "
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,42.4,40.8,43.9," 5,334,000 "
2012,estratificado,mujer,-,-,-,secundaria,-,-,38.3,36.4,40.3," 2,807,000 "
2012,estratificado,mujer,-,-,-,media,-,-,32.4,30.0,34.8," 1,633,000 "
2012,estratificado,mujer,-,-,-,superior,-,-,30.2,27.0,33.7," 944,000 "
2012,estratificado,hombre,-,-,-,-,bajo,-,22.1,20.6,23.7," 1,746,000 "
2012,estratificado,hombre,-,-,-,-,medio,-,28.8,27.1,30.6," 2,265,000 "
2012,estratificado,hombre,-,-,-,-,alto,-,32.0,29.5,34.6," 2,222,000 "
2012,estratificado,mujer,-,-,-,-,bajo,-,34.9,33.4,36.4," 3,388,000 "
2012,estratificado,mujer,-,-,-,-,medio,-,40.8,39.1,42.6," 4,009,000 "
2012,estratificado,mujer,-,-,-,-,alto,-,38.8,36.8,40.9," 3,321,000 "
2012,estratificado,hombre,-,-,-,-,-,no,,,,
2012,estratificado,hombre,-,-,-,-,-,si,,,,
2012,estratificado,mujer,-,-,-,-,-,no,,,,
2012,estratificado,mujer,-,-,-,-,-,si,,,,
2016,nacional ,-,-,-,-,-,-,-,33.4,30.9,36.0," 23,021,000 "
2016,estratificado,hombre,-,-,-,-,-,-,27.8,23.8,32.2," 9,231,000 "
2016,estratificado,mujer,-,-,-,-,-,-,38.6,36.0,41.2," 13,790,000 "
2016,estratificado,-,20-39,-,-,-,-,-,30.6,26.9,34.6," 10,637,000 "
2016,estratificado,-,40-59,-,-,-,-,-,38.7,35.8,41.8," 8,683,000 "
2016,estratificado,-,60+,-,-,-,-,-,31.5,27.0,36.3," 3,701,000 "
2016,estratificado,-,-,rural,-,-,-,-,29.0,26.5,31.6," 4,560,000 "
2016,estratificado,-,-,urbano,-,-,-,-,34.7,31.6,37.9," 18,461,000 "
2016,estratificado,-,-,-,norte ,-,-,-,38.0,31.8,44.6," 5,482,000 "
2016,estratificado,-,-,-,centro,-,-,-,29.6,25.3,34.2," 6,745,000 "
2016,estratificado,-,-,-,cdmx,-,-,-,33.3,28.5,38.5," 4,034,000 "
2016,estratificado,-,-,-,sur,-,-,-,34.5,30.3,39.0," 6,761,000 "
2016,estratificado,-,-,-,-,primaria o menos,-,-,34.0,31.3,36.9," 8,085,000 "
2016,estratificado,-,-,-,-,secundaria,-,-,34.8,31.4,38.4," 7,139,000 "
2016,estratificado,-,-,-,-,media,-,-,31.4,26.7,36.6," 4,239,000 "
2016,estratificado,-,-,-,-,superior,-,-,31.8,23.8,41.0," 3,558,000 "
2016,estratificado,-,-,-,-,-,bajo,-,28.8,25.8,31.9," 4,136,000 "
2016,estratificado,-,-,-,-,-,medio,-,34.3,30.9,37.8," 7,076,000 "
2016,estratificado,-,-,-,-,-,alto,-,34.8,31.0,38.9," 11,809,000 "
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,26.5,20.5,33.6," 4,581,000 "
2016,estratificado,hombre,40-59,-,-,-,-,-,32.7,28.6,37.1," 3,360,000 "
2016,estratificado,hombre,60+,-,-,-,-,-,22.8,17.6,28.9," 1,291,000 "
2016,estratificado,mujer,20-39,-,-,-,-,-,34.6,31.1,38.3," 6,056,000 "
2016,estratificado,mujer,40-59,-,-,-,-,-,43.9,40.0,47.8," 5,324,000 "
2016,estratificado,mujer,60+,-,-,-,-,-,39.6,32.8,46.8," 2,410,000 "
2016,estratificado,hombre,-,rural,-,-,-,-,21.5,18.4,24.9," 1,670,000 "
2016,estratificado,hombre,-,urbano,-,-,-,-,29.7,24.6,35.4," 7,561,000 "
2016,estratificado,mujer,-,rural,-,-,-,-,36.4,33.0,40.0," 2,890,000 "
