año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_sintomas_de_depresion_moderado_severo,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_sintomas_de_depresion_moderado_severo
2018,estratificado,-,-,rural,-,-,-,-,19.8,18.8,20.8,3469000
2018,estratificado,-,-,urbano,-,-,-,-,17.2,16.5,17.8,11186000
2018,estratificado,-,-,-,norte ,-,-,-,16.9,16.0,17.8,2887000
2018,estratificado,-,-,-,centro,-,-,-,18.0,17.0,19.0,5218000
2018,estratificado,-,-,-,cdmx,-,-,-,16.7,14.6,19.0,1903000
2018,estratificado,-,-,-,sur,-,-,-,18.4,17.6,19.3,4647000
2018,estratificado,-,-,-,-,primaria o menos,-,-,29.6,28.5,30.8,7682000
2018,estratificado,-,-,-,-,secundaria,-,-,16.2,15.2,17.3,3660000
2018,estratificado,-,-,-,-,media,-,-,11.3,10.3,12.3,2026000
2018,estratificado,-,-,-,-,superior,-,-,7.9,7.1,8.8,1288000
2018,estratificado,-,-,-,-,-,bajo,-,22.1,21.0,23.2,5314000
2018,estratificado,-,-,-,-,-,medio,-,18.4,17.5,19.3,4891000
2018,estratificado,-,-,-,-,-,alto,-,13.8,13.0,14.8,4451000
2018,estratificado,-,-,-,-,-,-,no,14.7,14.2,15.2,11158000
2018,estratificado,-,-,-,-,-,-,si,52.1,49.6,54.6,3498000
2018,estratificado,hombre,20-39,-,-,-,-,-,6.3,5.6,7.1,1077000
2018,estratificado,hombre,40-59,-,-,-,-,-,9.2,8.2,10.3,1233000
2018,estratificado,hombre,60+,-,-,-,-,-,32.8,30.7,35.0,2306000
2018,estratificado,mujer,20-39,-,-,-,-,-,12.8,11.9,13.8,2534000
2018,estratificado,mujer,40-59,-,-,-,-,-,19.8,18.6,21.1,3221000
2018,estratificado,mujer,60+,-,-,-,-,-,46.5,44.4,48.7,4285000
2018,estratificado,hombre,-,rural,-,-,-,-,14.5,13.3,15.8,1183000
2018,estratificado,hombre,-,urbano,-,-,-,-,11.7,10.9,12.5,3432000
2018,estratificado,mujer,-,rural,-,-,-,-,24.3,22.8,25.9,2286000
2018,estratificado,mujer,-,urbano,-,-,-,-,21.6,20.7,22.6,7754000
2018,estratificado,hombre,-,-,norte ,-,-,-,10.9,9.9,12.0,857000
2018,estratificado,hombre,-,-,centro,-,-,-,13.6,12.4,15.0,1819000
2018,estratificado,hombre,-,-,cdmx,-,-,-,9.5,7.3,12.1,479000
2018,estratificado,hombre,-,-,sur,-,-,-,13.0,11.9,14.1,1461000
2018,estratificado,mujer,-,-,norte ,-,-,-,22.1,20.8,23.5,2030000
2018,estratificado,mujer,-,-,centro,-,-,-,21.7,20.3,23.1,3399000
2018,estratificado,mujer,-,-,cdmx,-,-,-,22.4,19.3,25.9,1424000
2018,estratificado,mujer,-,-,sur,-,-,-,22.8,21.5,24.1,3187000
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,21.6,20.2,23.1,2418000
2018,estratificado,hombre,-,-,-,secundaria,-,-,10.7,9.4,12.1,1093000
2018,estratificado,hombre,-,-,-,media,-,-,7.8,6.6,9.2,629000
2018,estratificado,hombre,-,-,-,superior,-,-,5.9,5.0,7.0,477000
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,35.7,34.1,37.3,5264000
2018,estratificado,mujer,-,-,-,secundaria,-,-,20.7,19.3,22.2,2567000
2018,estratificado,mujer,-,-,-,media,-,-,14.1,12.7,15.6,1398000
2018,estratificado,mujer,-,-,-,superior,-,-,9.9,8.7,11.3,811000
2018,estratificado,hombre,-,-,-,-,bajo,-,16.1,14.9,17.5,1767000
2018,estratificado,hombre,-,-,-,-,medio,-,12.3,11.2,13.6,1469000
2018,estratificado,hombre,-,-,-,-,alto,-,9.4,8.4,10.5,1380000
2018,estratificado,mujer,-,-,-,-,bajo,-,27.1,25.5,28.7,3547000
2018,estratificado,mujer,-,-,-,-,medio,-,23.4,22.1,24.7,3422000
2018,estratificado,mujer,-,-,-,-,alto,-,17.6,16.3,18.9,3071000
2018,estratificado,hombre,-,-,-,-,-,no,9.8,9.2,10.5,3421000
2018,estratificado,hombre,-,-,-,-,-,si,44.5,40.5,48.5,1194000
2018,estratificado,mujer,-,-,-,-,-,no,18.8,18.0,19.6,7737000
2018,estratificado,mujer,-,-,-,-,-,si,57.1,53.8,60.4,2303000
2020,nacional,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-39,-,-,-,-,-,,,,
2020,estratificado,-,40-59,-,-,-,-,-,,,,
2020,estratificado,-,60+,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos,-,-,,,,
