año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_enfermedad_renal,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_enfermedad_renal
2021,estratificado,hombre,-,-,cdmx,-,-,-,9.7,7.2,13.0,374000
2021,estratificado,hombre,-,-,sur,-,-,-,9.3,6.9,12.3,1126000
2021,estratificado,mujer,-,-,norte ,-,-,-,17.4,14.4,20.8,1530000
2021,estratificado,mujer,-,-,centro,-,-,-,20.5,18.6,22.5,3523000
2021,estratificado,mujer,-,-,cdmx,-,-,-,22.1,19.5,25.0,1036000
2021,estratificado,mujer,-,-,sur,-,-,-,23.0,20.7,25.4,3110000
2021,estratificado,hombre,-,-,-,primaria o menos,-,-,7.3,6.0,9.0,799000
2021,estratificado,hombre,-,-,-,secundaria,-,-,8.5,6.8,10.6,904000
2021,estratificado,hombre,-,-,-,media,-,-,10.0,7.3,13.5,945000
2021,estratificado,hombre,-,-,-,superior,-,-,8.4,6.5,10.7,809000
2021,estratificado,mujer,-,-,-,primaria o menos,-,-,19.2,17.2,21.3,2395000
2021,estratificado,mujer,-,-,-,secundaria,-,-,20.6,18.4,22.8,2652000
2021,estratificado,mujer,-,-,-,media,-,-,22.1,19.5,24.9,2214000
2021,estratificado,mujer,-,-,-,superior,-,-,21.9,19.1,25.0,1938000
2021,estratificado,hombre,-,-,-,-,bajo,-,7.5,6.1,9.1,920000
2021,estratificado,hombre,-,-,-,-,medio,-,9.5,7.4,12.0,1186000
2021,estratificado,hombre,-,-,-,-,alto,-,8.6,7.1,10.3,1352000
2021,estratificado,mujer,-,-,-,-,bajo,-,20.5,18.5,22.5,2667000
2021,estratificado,mujer,-,-,-,-,medio,-,21.4,19.4,23.5,3050000
2021,estratificado,mujer,-,-,-,-,alto,-,20.5,18.5,22.7,3481000
2021,estratificado,hombre,-,-,-,-,-,no,8.3,7.3,9.6,3159000
2021,estratificado,hombre,-,-,-,-,-,si,11.0,8.1,14.9,298000
2021,estratificado,mujer,-,-,-,-,-,no,19.5,18.3,20.8,7847000
2021,estratificado,mujer,-,-,-,-,-,si,33.4,29.2,38.0,1351000
2022,nacional,-,-,-,-,-,-,-,22.8,21.7,24.0,19496000
2022,estratificado,hombre,-,-,-,-,-,-,15.4,14.0,16.9,6312000
2022,estratificado,mujer,-,-,-,-,-,-,29.6,28.0,31.1,13185000
2022,estratificado,-,20-39,-,-,-,-,-,20.8,19.3,22.3,7980000
2022,estratificado,-,40-59,-,-,-,-,-,24.1,22.3,26.0,7234000
2022,estratificado,-,60+,-,-,-,-,-,25.0,22.6,27.7,4283000
2022,estratificado,-,-,rural,-,-,-,-,21.1,19.3,23.0,3614000
2022,estratificado,-,-,urbano,-,-,-,-,23.2,21.9,24.6,15882000
2022,estratificado,-,-,-,norte ,-,-,-,22.6,20.7,24.6,3991000
2022,estratificado,-,-,-,centro,-,-,-,21.8,20.0,23.6,7066000
2022,estratificado,-,-,-,cdmx,-,-,-,23.5,20.1,27.3,2220000
2022,estratificado,-,-,-,sur,-,-,-,23.9,21.6,26.4,6219000
2022,estratificado,-,-,-,-,primaria o menos,-,-,22.7,20.6,24.9,5364000
2022,estratificado,-,-,-,-,secundaria,-,-,23.9,22.0,26.0,5509000
2022,estratificado,-,-,-,-,media,-,-,22.5,20.2,24.9,4588000
2022,estratificado,-,-,-,-,superior,-,-,21.9,19.4,24.6,4036000
2022,estratificado,-,-,-,-,-,bajo,-,21.3,19.7,23.1,5462000
2022,estratificado,-,-,-,-,-,medio,-,22.1,20.2,24.1,6160000
2022,estratificado,-,-,-,-,-,alto,-,24.6,22.6,26.8,7874000
2022,estratificado,-,-,-,-,-,-,no,21.6,20.4,22.8,16645000
2022,estratificado,-,-,-,-,-,-,si,33.9,30.3,37.6,2852000
2022,estratificado,hombre,20-39,-,-,-,-,-,12.1,10.2,14.2,2252000
2022,estratificado,hombre,40-59,-,-,-,-,-,17.2,14.5,20.4,2522000
2022,estratificado,hombre,60+,-,-,-,-,-,20.2,17.1,23.6,1538000
2022,estratificado,mujer,20-39,-,-,-,-,-,28.9,26.5,31.5,5728000
2022,estratificado,mujer,40-59,-,-,-,-,-,30.7,28.2,33.4,4712000
2022,estratificado,mujer,60+,-,-,-,-,-,29.0,25.7,32.5,2745000
2022,estratificado,hombre,-,rural,-,-,-,-,13.7,11.8,16.0,1131000
2022,estratificado,hombre,-,urbano,-,-,-,-,15.9,14.2,17.7,5181000
2022,estratificado,mujer,-,rural,-,-,-,-,27.8,24.8,31.1,2483000
2022,estratificado,mujer,-,urbano,-,-,-,-,30.0,28.3,31.8,10701000
2022,estratificado,hombre,-,-,norte ,-,-,-,13.9,12.0,16.0,1233000
2022,estratificado,hombre,-,-,centro,-,-,-,13.9,11.6,16.6,2133000
2022,estratificado,hombre,-,-,cdmx,-,-,-,14.1,10.3,19.0,633000
2022,estratificado,hombre,-,-,sur,-,-,-,19.0,16.1,22.2,2314000
2022,estratificado,mujer,-,-,norte ,-,-,-,31.5,28.6,34.6,2758000
2022,estratificado,mujer,-,-,centro,-,-,-,28.9,26.5,31.3,4934000
2022,estratificado,mujer,-,-,cdmx,-,-,-,32.0,26.8,37.7,1587000
2022,estratificado,mujer,-,-,sur,-,-,-,28.3,25.5,31.3,3906000
2022,estratificado,hombre,-,-,-,primaria o menos,-,-,15.3,12.9,18.0,1662000
2022,estratificado,hombre,-,-,-,secundaria,-,-,16.1,13.3,19.4,1760000
2022,estratificado,hombre,-,-,-,media,-,-,14.4,11.6,17.8,1360000
2022,estratificado,hombre,-,-,-,superior,-,-,15.7,12.7,19.3,1530000
2022,estratificado,mujer,-,-,-,primaria o menos,-,-,28.9,26.2,31.8,3702000
2022,estratificado,mujer,-,-,-,secundaria,-,-,31.0,28.6,33.5,3749000
2022,estratificado,mujer,-,-,-,media,-,-,29.4,26.3,32.7,3228000
2022,estratificado,mujer,-,-,-,superior,-,-,28.7,25.1,32.6,2506000
2022,estratificado,hombre,-,-,-,-,bajo,-,14.9,12.9,17.1,1785000
2022,estratificado,hombre,-,-,-,-,medio,-,13.9,11.3,16.9,1873000
2022,estratificado,hombre,-,-,-,-,alto,-,17.2,14.6,20.3,2654000
2022,estratificado,mujer,-,-,-,-,bajo,-,27.1,24.8,29.5,3677000
2022,estratificado,mujer,-,-,-,-,medio,-,29.8,27.2,32.4,4287000
2022,estratificado,mujer,-,-,-,-,alto,-,31.4,28.7,34.3,5221000
2022,estratificado,hombre,-,-,-,-,-,no,14.8,13.3,16.5,5568000
2022,estratificado,hombre,-,-,-,-,-,si,22.5,17.5,28.4,743000
2022,estratificado,mujer,-,-,-,-,-,no,28.0,26.6,29.6,11076000
2022,estratificado,mujer,-,-,-,-,-,si,41.2,36.3,46.3,2108000
2023,nacional,-,-,-,-,-,-,-,20.7,18.9,22.7,17825000
2023,estratificado,hombre,-,-,-,-,-,-,13.8,11.7,16.3,5692000
2023,estratificado,mujer,-,-,-,-,-,-,27.1,24.2,30.1,12133000
2023,estratificado,-,20-39,-,-,-,-,-,17.9,15.2,21.0,7043000
2023,estratificado,-,40-59,-,-,-,-,-,23.2,20.2,26.5,6778000
2023,estratificado,-,60+,-,-,-,-,-,23.0,19.3,27.1,4004000
2023,estratificado,-,-,rural,-,-,-,-,20.7,18.2,23.4,3519000
2023,estratificado,-,-,urbano,-,-,-,-,20.7,18.6,23.1,14306000
2023,estratificado,-,-,-,norte ,-,-,-,13.3,9.7,18.1,2141000
2023,estratificado,-,-,-,centro,-,-,-,20.7,18.2,23.5,8083000
2023,estratificado,-,-,-,cdmx,-,-,-,22.9,16.5,30.8,1710000
2023,estratificado,-,-,-,sur,-,-,-,25.2,23.0,27.5,5890000
2023,estratificado,-,-,-,-,primaria o menos,-,-,20.4,17.2,24.0,4063000
2023,estratificado,-,-,-,-,secundaria,-,-,20.4,17.1,24.1,5238000
2023,estratificado,-,-,-,-,media,-,-,20.8,17.5,24.5,4538000
2023,estratificado,-,-,-,-,superior,-,-,21.5,18.2,25.1,3985000
2023,estratificado,-,-,-,-,-,bajo,-,20.5,18.2,23.0,5596000
2023,estratificado,-,-,-,-,-,medio,-,21.9,18.5,25.6,5630000
2023,estratificado,-,-,-,-,-,alto,-,20.0,17.0,23.5,6599000
2023,estratificado,-,-,-,-,-,-,no,19.8,17.9,21.9,14261000
2023,estratificado,-,-,-,-,-,-,si,30.7,24.5,37.7,1602000
2023,estratificado,hombre,20-39,-,-,-,-,-,8.6,5.7,12.7,1628000
2023,estratificado,hombre,40-59,-,-,-,-,-,17.9,13.7,23.1,2357000
2023,estratificado,hombre,60+,-,-,-,-,-,18.9,13.9,25.2,1707000
2023,estratificado,mujer,20-39,-,-,-,-,-,26.5,22.4,31.1,5415000
2023,estratificado,mujer,40-59,-,-,-,-,-,27.6,23.8,31.7,4420000
2023,estratificado,mujer,60+,-,-,-,-,-,27.4,22.7,32.6,2297000
2023,estratificado,hombre,-,rural,-,-,-,-,17.5,11.8,25.1,1417000
2023,estratificado,hombre,-,urbano,-,-,-,-,12.9,10.8,15.4,4275000
2023,estratificado,mujer,-,rural,-,-,-,-,23.6,19.9,27.7,2102000
2023,estratificado,mujer,-,urbano,-,-,-,-,27.9,24.6,31.6,10031000
2023,estratificado,hombre,-,-,norte ,-,-,-,,,,
2023,estratificado,hombre,-,-,centro,-,-,-,,,,
2023,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2023,estratificado,hombre,-,-,sur,-,-,-,,,,
2023,estratificado,mujer,-,-,norte ,-,-,-,,,,
2023,estratificado,mujer,-,-,centro,-,-,-,,,,
2023,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2023,estratificado,mujer,-,-,sur,-,-,-,,,,
2023,estratificado,hombre,-,-,-,primaria o menos,-,-,16.0,11.5,21.9,1384000
2023,estratificado,hombre,-,-,-,secundaria,-,-,10.7,7.5,15.2,1243000
2023,estratificado,hombre,-,-,-,media,-,-,11.3,8.1,15.7,1233000
2023,estratificado,hombre,-,-,-,superior,-,-,18.2,13.7,23.8,1833000
2023,estratificado,mujer,-,-,-,primaria o menos,-,-,23.7,19.3,28.8,2679000
2023,estratificado,mujer,-,-,-,secundaria,-,-,28.3,23.7,33.4,3996000
2023,estratificado,mujer,-,-,-,media,-,-,30.3,23.8,37.6,3305000
2023,estratificado,mujer,-,-,-,superior,-,-,25.3,20.3,31.2,2153000
2023,estratificado,hombre,-,-,-,-,bajo,-,14.3,10.6,19.0,1792000
2023,estratificado,hombre,-,-,-,-,medio,-,14.2,10.5,19.1,1700000
2023,estratificado,hombre,-,-,-,-,alto,-,13.2,10.6,16.4,2200000
2023,estratificado,mujer,-,-,-,-,bajo,-,25.8,22.0,30.0,3804000
2023,estratificado,mujer,-,-,-,-,medio,-,28.5,24.4,32.9,3930000
2023,estratificado,mujer,-,-,-,-,alto,-,27.0,21.9,32.8,4399000
2023,estratificado,hombre,-,-,-,-,-,no,12.9,10.8,15.4,4441000
2023,estratificado,hombre,-,-,-,-,-,si,23.1,14.3,35.1,549000
2023,estratificado,mujer,-,-,-,-,-,no,26.2,23.0,29.7,9820000
2023,estratificado,mujer,-,-,-,-,-,si,37.0,28.2,46.8,1053000
