año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_enfermedad_renal,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_enfermedad_renal
2006,estratificado,-,-,-,-,-,-,si,,,,
2006,estratificado,hombre,20-39,-,-,-,-,-,7.2,6.5,8.1,974000
2006,estratificado,hombre,40-59,-,-,-,-,-,11.3,10.2,12.5,1030000
2006,estratificado,hombre,60+,-,-,-,-,-,13.8,12.1,15.7,624000
2006,estratificado,mujer,20-39,-,-,-,-,-,20.1,18.8,21.5,3330000
2006,estratificado,mujer,40-59,-,-,-,-,-,19.9,18.5,21.3,2122000
2006,estratificado,mujer,60+,-,-,-,-,-,16.6,14.9,18.4,919000
2006,estratificado,hombre,-,rural,-,-,-,-,7.8,6.9,8.9,444000
2006,estratificado,hombre,-,urbano,-,-,-,-,10.2,9.4,11.0,2184000
2006,estratificado,mujer,-,rural,-,-,-,-,16.4,14.9,18.0,1092000
2006,estratificado,mujer,-,urbano,-,-,-,-,20.2,19.2,21.3,5279000
2006,estratificado,hombre,-,-,norte ,-,-,-,9.1,8.2,10.0,504000
2006,estratificado,hombre,-,-,centro,-,-,-,10.0,8.8,11.2,1037000
2006,estratificado,hombre,-,-,cdmx,-,-,-,9.3,6.8,12.6,300000
2006,estratificado,hombre,-,-,sur,-,-,-,9.9,8.9,11.0,788000
2006,estratificado,mujer,-,-,norte ,-,-,-,18.9,17.6,20.2,1199000
2006,estratificado,mujer,-,-,centro,-,-,-,19.9,18.2,21.6,2551000
2006,estratificado,mujer,-,-,cdmx,-,-,-,23.2,19.7,27.1,861000
2006,estratificado,mujer,-,-,sur,-,-,-,17.8,16.5,19.1,1760000
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,10.8,9.8,11.8,1167000
2006,estratificado,hombre,-,-,-,secundaria,-,-,8.4,7.2,9.7,440000
2006,estratificado,hombre,-,-,-,media,-,-,10.5,8.8,12.6,349000
2006,estratificado,hombre,-,-,-,superior,-,-,9.2,7.4,11.4,243000
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,19.6,18.4,20.8,2988000
2006,estratificado,mujer,-,-,-,secundaria,-,-,20.8,19.0,22.8,1172000
2006,estratificado,mujer,-,-,-,media,-,-,20.3,18.1,22.7,874000
2006,estratificado,mujer,-,-,-,superior,-,-,19.3,15.8,23.2,416000
2006,estratificado,hombre,-,-,-,-,bajo,-,7.4,6.6,8.4,454000
2006,estratificado,hombre,-,-,-,-,medio,-,10.7,9.6,12.0,722000
2006,estratificado,hombre,-,-,-,-,alto,-,11.1,9.8,12.5,1024000
2006,estratificado,mujer,-,-,-,-,bajo,-,16.8,15.4,18.3,1269000
2006,estratificado,mujer,-,-,-,-,medio,-,22.0,20.4,23.6,1918000
2006,estratificado,mujer,-,-,-,-,alto,-,20.4,19.0,21.9,2263000
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional,-,-,-,-,-,-,-,,,,
2012,estratificado,hombre,-,-,-,-,-,-,,,,
2012,estratificado,mujer,-,-,-,-,-,-,,,,
2012,estratificado,-,20-39,-,-,-,-,-,,,,
2012,estratificado,-,40-59,-,-,-,-,-,,,,
2012,estratificado,-,60+,-,-,-,-,-,,,,
2012,estratificado,-,-,rural,-,-,-,-,,,,
2012,estratificado,-,-,urbano,-,-,-,-,,,,
2012,estratificado,-,-,-,norte ,-,-,-,,,,
2012,estratificado,-,-,-,centro,-,-,-,,,,
2012,estratificado,-,-,-,cdmx,-,-,-,,,,
2012,estratificado,-,-,-,sur,-,-,-,,,,
2012,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2012,estratificado,-,-,-,-,secundaria,-,-,,,,
2012,estratificado,-,-,-,-,media,-,-,,,,
2012,estratificado,-,-,-,-,superior,-,-,,,,
2012,estratificado,-,-,-,-,-,bajo,-,,,,
2012,estratificado,-,-,-,-,-,medio,-,,,,
2012,estratificado,-,-,-,-,-,alto,-,,,,
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-39,-,-,-,-,-,,,,
2012,estratificado,hombre,40-59,-,-,-,-,-,,,,
2012,estratificado,hombre,60+,-,-,-,-,-,,,,
2012,estratificado,mujer,20-39,-,-,-,-,-,,,,
2012,estratificado,mujer,40-59,-,-,-,-,-,,,,
2012,estratificado,mujer,60+,-,-,-,-,-,,,,
2012,estratificado,hombre,-,rural,-,-,-,-,,,,
2012,estratificado,hombre,-,urbano,-,-,-,-,,,,
2012,estratificado,mujer,-,rural,-,-,-,-,,,,
2012,estratificado,mujer,-,urbano,-,-,-,-,,,,
2012,estratificado,hombre,-,-,norte ,-,-,-,,,,
2012,estratificado,hombre,-,-,centro,-,-,-,,,,
