año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_inicio_de_vida_sexual_antes_de_15_aÒos,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_inicio_de_vida_sexual_antes_de_15_aÒos
2006,estratificado,hombre,-,urbano,-,-,-,-,,,,
2006,estratificado,mujer,-,rural,-,-,-,-,,,,
2006,estratificado,mujer,-,urbano,-,-,-,-,,,,
2006,estratificado,hombre,-,-,norte ,-,-,-,,,,
2006,estratificado,hombre,-,-,centro,-,-,-,,,,
2006,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2006,estratificado,hombre,-,-,sur,-,-,-,,,,
2006,estratificado,mujer,-,-,norte ,-,-,-,,,,
2006,estratificado,mujer,-,-,centro,-,-,-,,,,
2006,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2006,estratificado,mujer,-,-,sur,-,-,-,,,,
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2006,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2006,estratificado,hombre,-,-,-,media,-,-,,,,
2006,estratificado,hombre,-,-,-,superior,-,-,,,,
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2006,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2006,estratificado,mujer,-,-,-,media,-,-,,,,
2006,estratificado,mujer,-,-,-,superior,-,-,,,,
2006,estratificado,hombre,-,-,-,-,bajo,-,,,,
2006,estratificado,hombre,-,-,-,-,medio,-,,,,
2006,estratificado,hombre,-,-,-,-,alto,-,,,,
2006,estratificado,mujer,-,-,-,-,bajo,-,,,,
2006,estratificado,mujer,-,-,-,-,medio,-,,,,
2006,estratificado,mujer,-,-,-,-,alto,-,,,,
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional ,-,-,-,-,-,-,-,9.1,8.5,9.7,3861000
2012,estratificado,hombre,-,-,-,-,-,-,11.8,10.8,12.8,2311000
2012,estratificado,mujer,-,-,-,-,-,-,6.8,6.2,7.5,1550000
2012,estratificado,-,20-29,-,-,-,-,-,9.6,8.6,10.7,1502000
2012,estratificado,-,30-39,-,-,-,-,-,8.5,7.7,9.5,1269000
2012,estratificado,-,40-49,-,-,-,-,-,9.2,8.0,10.4,1090000
2012,estratificado,-,-,rural,-,-,-,-,9.6,8.6,10.7,837000
2012,estratificado,-,-,urbano,-,-,-,-,9.0,8.3,9.7,3024000
2012,estratificado,-,-,-,norte ,-,-,-,8.9,8.0,9.9,801000
2012,estratificado,-,-,-,centro,-,-,-,8.1,7.1,9.3,1296000
2012,estratificado,-,-,-,cdmx,-,-,-,9.4,6.9,12.6,441000
2012,estratificado,-,-,-,sur,-,-,-,10.4,9.5,11.4,1323000
2012,estratificado,-,-,-,-,primaria o menos,-,-,14.2,13.0,15.4,1612000
2012,estratificado,-,-,-,-,secundaria,-,-,9.0,8.0,10.1,1276000
2012,estratificado,-,-,-,-,media,-,-,6.7,5.7,7.9,674000
2012,estratificado,-,-,-,-,superior,-,-,4.4,3.3,5.8,300000
2012,estratificado,-,-,-,-,-,bajo,-,11.7,10.8,12.7,1604000
2012,estratificado,-,-,-,-,-,medio,-,9.6,8.5,10.7,1435000
2012,estratificado,-,-,-,-,-,alto,-,6.0,5.1,7.0,822000
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-29,-,-,-,-,-,11.7,10.1,13.5,906000
2012,estratificado,hombre,30-39,-,-,-,-,-,11.6,10.1,13.3,750000
2012,estratificado,hombre,40-49,-,-,-,-,-,12.1,10.2,14.2,655000
2012,estratificado,mujer,20-29,-,-,-,-,-,7.5,6.4,8.8,596000
2012,estratificado,mujer,30-39,-,-,-,-,-,6.2,5.3,7.2,519000
2012,estratificado,mujer,40-49,-,-,-,-,-,6.7,5.6,8.0,435000
2012,estratificado,hombre,-,rural,-,-,-,-,10.6,9.2,12.3,430000
2012,estratificado,hombre,-,urbano,-,-,-,-,12.1,10.9,13.3,1881000
2012,estratificado,mujer,-,rural,-,-,-,-,8.7,7.5,10.0,408000
2012,estratificado,mujer,-,urbano,-,-,-,-,6.3,5.6,7.1,1142000
2012,estratificado,hombre,-,-,norte ,-,-,-,11.7,10.2,13.3,506000
2012,estratificado,hombre,-,-,centro,-,-,-,10.0,8.3,12.0,745000
2012,estratificado,hombre,-,-,cdmx,-,-,-,13.4,9.6,18.4,289000
2012,estratificado,hombre,-,-,sur,-,-,-,13.6,12.1,15.2,770000
